GeneID	GSM6500910	GSM6500911	GSM6500912	GSM6500913	GSM6500914	GSM6500915	GSM6500916	GSM6500917	GSM6500918	GSM6500919	GSM6500920	GSM6500921	GSM6500922	GSM6500923	GSM6500924	GSM6500925
100287102	0.3382	0.1232	0.1609	0.1233	0.1867	0.1384	0.1817	0.138	0.1637	0.1325	0.3131	0.1088	0.1693	0.146	0.1511	0.197
653635	32.12	15.97	18.41	14.85	20.25	17.18	16.48	17.33	17.44	15.4	33.01	17.92	25.63	19.73	20.91	17.15
102466751	35.72	20.96	20.33	14.68	24.19	21.29	19.42	17.51	20.54	16.74	38.04	21.15	32.5	23.77	26.92	22.09
107985730	0.3612	0.3027	0.3459	0.3409	0.2866	0.2124	0.3906	0.2826	0.2932	0.1628	0.4006	0.2227	0.208	0.3139	0.2577	0.3257
100302278	0.352	0.5901	0.3853	0.2953	0.3725	0.2761	0.4351	0.5508	0.1633	0.3173	0.4686	0.4342	0	0.1748	0.201	0.5441
645520	0.1935	0.1441	0.1412	0.1443	0.1365	0.1349	0.1328	0.2242	0.03988	0.03875	0.2861	0.1856	0.1238	0.1067	0.1227	0.1772
79501	0	0	0	0	0.028	0	0	0.0276	0	0	0.02348	0	0	0	0	0
100996442	0.4616	0.4825	0.4455	0.4414	0.4044	0.506	0.4171	0.4607	0.442	0.4742	0.4933	0.5019	0.5087	0.4683	0.374	0.4961
729737	2.889	1.517	1.86	1.467	1.85	1.315	1.777	1.652	1.26	1.216	2.898	1.467	2.264	2.032	2.624	1.71
102725121	0.2872	0.152	0.1654	0.1395	0.1599	0.1422	0.1494	0.1261	0.1823	0.1635	0.3085	0.2051	0.1567	0.1801	0.2244	0.2025
102723897	30.84	15.95	17	14.95	19.5	15.47	16.96	16.62	15.42	13.85	33.11	17.4	24.32	19.47	19.95	15.69
102465909	17.5	10.18	11.34	8.69	14.36	12.32	10.15	10.06	10.6	7.727	22.5	11.45	18.1	12.42	14.68	10.67
107985721	0.1167	0.1354	0.06877	0.1581	0.1045	0.1408	0.08875	0.1311	0.03331	0.04854	0.1513	0.09963	0.07236	0.1337	0.09224	0.111
112268260	0.2911	0.1791	0.254	0.1885	0.2144	0.1965	0.2322	0.2114	0.1675	0.1594	0.34	0.1863	0.4328	0.1756	0.1851	0.1974
729759	0.05174	0.04336	0.02831	0.0217	0.02737	0.04057	0.03197	0.05396	0.04799	0.04663	0.09182	0	0	0.05138	0	0
