GeneID	GSM6500910	GSM6500911	GSM6500912	GSM6500913	GSM6500914	GSM6500915	GSM6500916	GSM6500917	GSM6500918	GSM6500919	GSM6500920	GSM6500921	GSM6500922	GSM6500923	GSM6500924	GSM6500925
100287102	0.6946	0.2961	0.3906	0.2956	0.4251	0.3221	0.4342	0.3316	0.3775	0.3246	0.6629	0.2528	0.4109	0.3435	0.3681	0.4807
653635	65.97	38.38	44.68	35.58	46.12	40.01	39.37	41.63	40.22	37.71	69.88	41.64	62.2	46.42	50.96	41.85
102466751	73.37	50.36	49.34	35.18	55.08	49.56	46.41	42.06	47.39	41	80.52	49.14	78.86	55.91	65.59	53.9
107985730	0.7419	0.7274	0.8396	0.8168	0.6527	0.4946	0.9332	0.6787	0.6762	0.3987	0.8481	0.5176	0.5047	0.7383	0.628	0.7948
100302278	0.723	1.418	0.9352	0.7077	0.8481	0.6427	1.039	1.323	0.3766	0.7771	0.992	1.009	0	0.4112	0.4897	1.328
645520	0.3974	0.3463	0.3426	0.3457	0.3107	0.314	0.3174	0.5386	0.09199	0.09491	0.6057	0.4313	0.3003	0.2511	0.299	0.4325
79501	0	0	0	0	0.06375	0	0	0.0663	0	0	0.04971	0	0	0	0	0
100996442	0.9481	1.159	1.081	1.058	0.9208	1.178	0.9965	1.107	1.02	1.161	1.044	1.166	1.234	1.102	0.9113	1.211
729737	5.933	3.646	4.515	3.514	4.212	3.062	4.245	3.969	2.905	2.978	6.135	3.408	5.493	4.779	6.394	4.174
102725121	0.5899	0.3653	0.4015	0.3342	0.3642	0.3311	0.357	0.303	0.4204	0.4004	0.6531	0.4765	0.3801	0.4237	0.5466	0.4942
102723897	63.35	38.33	41.26	35.82	44.4	36.01	40.52	39.92	35.56	33.92	70.09	40.44	59.01	45.79	48.62	38.3
102465909	35.95	24.46	27.52	20.82	32.7	28.69	24.26	24.16	24.46	18.93	47.64	26.62	43.92	29.21	35.77	26.05
107985721	0.2397	0.3254	0.1669	0.3789	0.2379	0.3278	0.212	0.3149	0.07683	0.1189	0.3204	0.2315	0.1756	0.3145	0.2247	0.2709
112268260	0.5978	0.4303	0.6166	0.4518	0.4882	0.4574	0.5548	0.5077	0.3863	0.3904	0.7198	0.4329	1.05	0.4131	0.451	0.4818
729759	0.1063	0.1042	0.06872	0.052	0.06232	0.09445	0.07638	0.1296	0.1107	0.1142	0.1944	0	0	0.1209	0	0
100132287	10.63	7.724	8.446	6.715	8.089	6.596	7.73	8.272	6.077	6.111	11.37	7.503	9.956	10.31	11.37	9.142
105378947	0.1065	0.2923	0.2203	0.2918	0.1499	0.2271	0.2449	0.1299	0.1331	0.04577	0.4479	0.1783	0.4925	0.2664	0.2596	0.2086
101928626	0	0	0	0	0.07334	0	0	0	0	0	0.05718	0	0	0	0	0
113219467	1.554e+04	6727	8404	6799	9117	7287	8644	2275	7732	1726	1.367e+04	8098	7823	6552	8029	2461
81399	0.1813	0.3047	0.2121	0.245	0.2531	0.2609	0.1489	0.2632	0.1529	0.2783	0.2447	0.1927	0.2349	0.2454	0.152	0.2325
100133331	13.28	10.28	11.25	9.313	10.9	9.922	10.74	11.31	8.636	9.261	13.85	9.629	14.66	13.37	14.55	11.85
107984841	6.465	8.03	8.571	9.07	10.62	7.662	8.907	7.821	7.97	6.833	6.258	8.195	10.56	8.579	11.89	10.09
107984847	24.69	32.88	29.54	31.01	33.18	27.43	32.53	32	27.65	25.87	25.31	31	47.58	35.68	37.2	35.52
107984849	8.374	13.63	12.67	12.56	14.21	11.4	10.5	11.3	9.838	12.26	10.1	9.697	17.7	15.4	14.24	15.71
100288069	2.875	4.567	4.754	5.983	4.012	5.499	5.388	6.792	4.663	5.71	2.862	4.672	6.733	5.836	5.471	6.996
105378580	0.7962	0.7617	0.6656	0.7127	0.6037	0.8458	0.67	1.019	0.7384	0.7723	1.004	0.813	0.8191	0.751	0.7233	0.535
400728	0.6159	1.409	0.7302	0.5777	0.7827	1.095	1.07	1.44	1.23	1.82	0.6572	1.003	0.4539	0.9633	0.6952	1.037
79854	2.273	1.931	1.372	2.262	2.666	3.031	1.96	2.218	1.815	3.176	1.836	1.956	1.855	2.284	2.206	1.763
643837	4.22	6.368	4.682	4.744	7.644	8.809	6.548	7.93	9.958	11.65	4.636	6.273	5.477	5.494	5.65	5.968
107984850	0.02033	0.2791	0	0	0.02385	0.03614	0	0.0248	0.02118	0.0874	0.07438	0.02837	0.08298	0.02312	0.08261	0.04979
284593	0.2047	0.172	0.07565	0.2003	0.1029	0.05199	0.1682	0.214	0.06093	0.1886	0.1605	0.2448	0.1194	0.133	0.1584	0.2507
284600	23.16	33.19	21.26	28.39	25.65	29.54	22.61	33.11	12.76	17.1	22.18	31.16	25.23	37.29	28.65	33.68
100130417	113.4	57.95	73.09	53.04	81.95	58.19	72.82	61.3	41.72	37.24	110.9	63.93	101.9	72.68	89.92	62.02
107985728	25.57	23.48	32.86	21.16	33.9	19.63	33.89	23.29	16.93	13.32	27.61	21.14	44.18	25.99	36.62	24.78
148398	105.7	64.74	91.91	62.14	78.34	57.89	86.42	71.24	41.47	40.68	114.8	65.29	101.1	90.65	110.4	70.07
26155	156.7	161.7	156.2	153.1	171.8	166	159.5	164.8	204.9	216	146.2	156.1	159.7	167.7	180	162.5
339451	25.61	19.97	20.34	18.86	21.29	20.81	20.29	23.18	15	18.78	26.71	22.35	25.17	29.21	27.3	23.43
84069	23.15	14.12	18.46	13.35	17.17	13.71	18.14	16.17	12.2	14.27	24.3	15.35	21.22	20.03	23.12	16.84
84808	5.631	2.815	4.016	2.918	3.691	2.92	3.889	3.283	2.76	2.937	5.983	3.101	4.581	3.5	4.542	3.143
57801	11.12	6.879	6.789	6.765	6.005	5.959	8.031	9.446	7.877	13.52	11.62	6.672	9.015	11.2	10.45	7.604
9636	146.9	86.93	120	93.44	91.14	78.25	105.6	99.65	71.39	87.71	150.5	89.4	105.1	127.6	143.3	99.35
375790	40.59	39.67	49.31	41.07	41.05	35.05	46.48	49.34	36.88	45.16	39.99	39.77	49.16	63.41	69.53	47.39
100288175	14.91	11.05	14.24	11.78	11.66	12.84	12.37	12.81	6.83	7.707	18.83	14.51	16.1	14.97	13.25	12.36
112267874	3.267	2.027	2.435	1.843	2.403	2.297	2.653	1.891	2.173	1.627	3.309	2.241	2.938	2.519	2.9	2.192
105378948	8.902	5.562	6.187	6.103	6.153	5.498	6.755	6.565	3.951	3.893	9.564	6.056	8.415	7.559	7.729	5.9
401934	6.118	3.038	5.875	3.521	4.651	2.894	5.021	3.459	5.991	4.572	5.956	3.224	5.287	3.912	6.295	3.633
54991	11	6.517	8.729	6.525	8.687	7.877	7.845	10.06	8.762	12.66	11.86	8.015	8.82	11.29	12.48	8.088
254099	0	0	0	0	0	0	0	0	0	0	0.05633	0	0	0	0	0
406984	8.928	4.119	6.792	3.598	1.848	2.801	4.53	8.969	2.188	4.515	6.244	2.931	9.289	7.765	7.824	5.144
406983	12.75	11.96	13.62	7.053	3.901	7.884	7.969	12.17	6.352	7.15	23.83	6.962	18.85	18.28	14.27	14.25
554210	57.1	11.79	34.21	17.06	37.37	22.44	24.2	34.46	18.79	23.26	63.22	22.65	41.71	38.97	49.66	27.97
100506376	0.01195	0.04686	0.06181	0.02338	0.07007	0.06372	0.01717	0.05829	0.02489	0.05136	0.1202	0.08335	0.01625	0.08153	0.08091	0.07314
254173	0.1974	0.3188	0.2253	0.2046	0.1907	0.1445	0.217	0.2125	0.1936	0.09985	0.3186	0.3565	0.2686	0.2642	0.2674	0.3271
8784	0.5482	0.3185	0.8141	0.4571	0.3573	0.0361	0.759	0.4459	0.2115	0.2182	0.7057	0.425	0.7459	0.7852	1.1	0.5967
7293	0.09513	0	0	0.0399	0.03188	0.04832	0.03907	0.06631	0.07079	0.05843	0.04972	0.03793	0.09245	0.06183	0.03681	0.04992
51150	110.4	102.2	121.9	105.9	111	97.1	119.6	105.5	126.9	119.5	103.5	100.7	123.7	121.3	133.8	113.2
126792	37.23	45.1	39.66	42.68	40.27	44.52	39.84	47.56	44.12	48.63	33.45	41.8	38.81	49.34	44.71	48.11
388581	2.477	1.495	1.331	1.306	1.386	0.9486	1.151	1.441	0.5162	1.393	2.824	1.117	1.607	2.688	1.6	1.493
118424	26.88	26.17	27.99	26.18	24.98	25.67	28.77	27.52	23.42	28.81	26.45	26.02	27.39	30.72	32.02	27.47
101928895	6.389	6.616	6.989	7.627	6.934	5.467	7.855	7.539	3.266	4.364	7.236	7.749	9.465	9.067	8.856	6.617
6339	18.44	11.24	12.02	10.54	11.94	8.654	11.81	12.67	6.518	7.164	22.49	12.26	16.27	17.45	16.42	12.74
116983	68.38	49.6	50.83	49.37	56.25	46.39	51.91	56.44	46.85	52.62	75.93	52.74	67.7	70.03	69.5	58.23
102465434	8.997	8.019	4.231	5.603	7.675	2.908	5.879	8.979	5.112	5.274	8.228	6.848	5.564	5.581	5.539	5.007
109623456	42.17	47.75	49.93	45.92	50.16	41.18	44.4	50.72	34.65	34.47	49.43	48.07	66.26	59.45	69.99	50.91
126789	31.16	26.88	31.21	25.94	29.47	24.94	30.22	27.28	36.66	41.01	32.35	26.97	34.08	34.2	38.62	28.77
54973	78.36	76.03	77.9	74.92	82.14	77.39	80.37	80.63	82.81	100.1	81.05	77.03	86.8	87.74	89.73	80.21
102465435	11.51	9.031	18.86	9.014	9.904	9.552	15.45	17.79	14.39	21.45	17.55	6.426	10.44	17.46	25.99	13.16
80772	33.65	24.06	32.15	22.27	30.94	24.15	33.47	29.14	38.92	34.98	32.34	23.17	33.01	31.33	42.4	25.03
83756	0.7331	0.5425	0.6082	0.5415	0.7139	0.6639	0.4971	0.6074	0.8501	1.041	0.8223	0.6176	0.6586	0.5978	0.8243	0.525
1855	68.81	55.31	60.24	53.22	63.88	56.06	64.75	67.45	64.74	73.05	72	57.21	69.66	80.32	82.33	61.86
102466740	2.537	3.316	2.187	2.483	2.976	1.503	2.431	3.095	4.405	7.271	3.867	0	2.301	2.885	3.436	3.106
54587	52.45	41.24	51.92	42.55	48.15	36.89	48.17	42.79	33.01	28.17	57.88	43.28	61.64	54.23	61.41	45.37
54998	130.3	88.67	105.7	95.09	98.79	99.75	100.9	104	110.1	125.4	120.5	104.4	101	116.1	122	102.6
81669	93.49	84.06	78.18	80.47	74.69	74.28	75.64	82.94	46.67	57.52	99.57	80.34	109.1	91.45	85	88.05
148413	57.77	57.98	64.12	56.29	57.25	55.46	57.36	54.56	56.97	55.03	57.17	56.87	65.82	57.3	64.48	56.48
55052	223.2	198.9	190.9	188.1	198.2	189.7	188.5	189.9	208	215.4	210.8	187.3	182.1	197.2	193.1	201.8
