GeneID	GSM6500910	GSM6500911	GSM6500912	GSM6500913	GSM6500914	GSM6500915	GSM6500916	GSM6500917	GSM6500918	GSM6500919	GSM6500920	GSM6500921	GSM6500922	GSM6500923	GSM6500924	GSM6500925
100287102	23	5	10	10	12	6	10	9	12	5	24	6	10	10	9	13
653635	2339	694	1225	1289	1394	798	971	1210	1369	622	2709	1058	1621	1447	1334	1212
102466751	100	35	52	49	64	38	44	47	62	26	120	48	79	67	66	60
107985730	8	4	7	9	6	3	7	6	7	2	10	4	4	7	5	7
100302278	2	2	2	2	2	1	2	3	1	1	3	2	0	1	1	3
645520	9	4	6	8	6	4	5	10	2	1	15	7	5	5	5	8
79501	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
100996442	93	58	82	106	77	65	68	89	96	53	112	82	89	95	66	97
729737	651	204	383	394	394	189	324	357	306	152	736	268	443	461	518	374
102725121	19	6	10	11	10	6	8	8	13	6	23	11	9	12	13	13
102723897	2236	690	1126	1292	1336	715	995	1155	1205	557	2705	1023	1531	1421	1267	1104
102465909	49	17	29	29	38	22	23	27	32	12	71	26	44	35	36	29
107985721	13	9	7	21	11	10	8	14	4	3	19	9	7	15	9	12
112268260	79	29	63	61	55	34	51	55	49	24	104	41	102	48	44	52
729759	2	1	1	1	1	1	1	2	2	1	4	0	0	2	0	0
100132287	931	345	572	601	604	325	471	594	511	249	1089	471	641	794	735	654
105378947	5	7	8	14	6	6	8	5	6	1	23	6	17	11	9	8
101928626	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
113219467	22122	4882	9247	9887	11061	5833	8557	2654	10562	1143	21274	8259	8183	8198	8436	2860
81399	21	18	19	29	25	17	12	25	17	15	31	16	20	25	13	22
100133331	1137	449	745	815	796	478	640	794	710	369	1297	591	923	1007	920	829
107984841	120	76	123	172	168	80	115	119	142	59	127	109	144	140	163	153
107984847	240	163	222	308	275	150	220	255	258	117	269	216	340	305	267	282
107984849	47	39	55	72	68	36	41	52	53	32	62	39	73	76	59	72
100288069	79	64	101	168	94	85	103	153	123	73	86	92	136	141	111	157
105378580	82	40	53	75	53	49	48	86	73	37	113	60	62	68	55	45
400728	24	28	22	23	26	24	29	46	46	33	28	28	13	33	20	33
79854	60	26	28	61	60	45	36	48	46	39	53	37	36	53	43	38
643837	781	601	670	897	1206	917	843	1203	1769	1003	938	832	745	894	772	902
107984850	1	7	0	0	1	1	0	1	1	2	4	1	3	1	3	2
284593	7	3	2	7	3	1	4	6	2	3	6	6	3	4	4	7
284600	1791	1309	1271	2243	1691	1285	1216	2099	947	615	1875	1727	1434	2535	1636	2127
100130417	3422	892	1706	1636	2109	988	1529	1517	1209	523	3661	1383	2261	1929	2004	1529
107985728	1869	875	1857	1580	2112	807	1723	1395	1188	453	2206	1107	2373	1670	1976	1479
148398	5418	1692	3642	3254	3423	1669	3081	2993	2040	970	6434	2398	3809	4085	4177	2933
26155	8661	4558	6675	8642	8093	5161	6133	7464	10869	5552	8832	6180	6487	8148	7342	7333
339451	1682	669	1033	1266	1192	769	927	1248	946	574	1918	1052	1215	1687	1324	1257
84069	1858	578	1146	1095	1175	619	1013	1064	940	533	2133	883	1252	1414	1370	1104
84808	408	104	225	216	228	119	196	195	192	99	474	161	244	223	243	186
57801	428	135	202	266	197	129	215	298	291	242	489	184	255	379	297	239
9636	1875	566	1185	1219	992	562	938	1043	875	521	2101	818	986	1432	1351	1036
375790	6612	3295	6210	6835	5701	3212	5267	6589	5767	3422	7123	4643	5886	9082	8362	6304
100288175	291	110	215	235	194	141	168	205	128	70	402	203	231	257	191	197
112267874	177	56	102	102	111	70	100	84	113	41	196	87	117	120	116	97
105378948	521	166	280	365	307	181	275	315	222	106	612	254	362	389	334	282
401934	233	59	173	137	151	62	133	108	219	81	248	88	148	131	177	113
54991	536	162	329	325	361	216	266	402	410	287	632	280	316	484	449	322
254099	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
406984	17	4	10	7	3	3	6	14	4	4	13	4	13	13	11	8
406983	23	11	19	13	6	8	10	18	11	6	47	9	25	29	19	21
554210	95	10	44	29	53	21	28	47	30	18	115	27	51	57	61	38
100506376	1	2	4	2	5	3	1	4	2	2	11	5	1	6	5	5
254173	17	14	15	18	14	7	13	15	16	4	30	22	17	20	17	23
8784	27	8	31	23	15	1	26	18	10	5	38	15	27	34	40	24
7293	7	0	0	3	2	2	2	4	5	2	4	2	5	4	2	3
51150	9006	4252	7691	8824	7719	4456	6785	7056	9936	4536	9236	5890	7418	8701	8059	7544
126792	2093	1293	1724	2452	1930	1408	1558	2192	2381	1272	2056	1684	1604	2439	1856	2209
388581	65	20	27	35	31	14	21	31	13	17	81	21	31	62	31	32
118424	2337	1160	1881	2325	1851	1255	1740	1961	1954	1165	2514	1621	1750	2348	2055	1950
101928895	214	113	181	261	198	103	183	207	105	68	265	186	233	267	219	181
6339	1129	351	569	659	623	298	503	636	383	204	1505	538	732	939	742	637
116983	9090	3362	5224	6705	6375	3469	4800	6150	5978	3254	11036	5024	6615	8185	6821	6322
102465434	11	5	4	7	8	2	5	9	6	3	11	6	5	6	5	5
109623456	71	41	65	79	72	39	52	70	56	27	91	58	82	88	87	70
126789	882	388	683	750	711	397	595	633	996	540	1001	547	709	851	807	665
54973	4129	2043	3174	4034	3690	2294	2946	3483	4189	2454	4670	2909	3362	4065	3491	3452
102465435	15	6	19	12	11	7	14	19	18	13	25	6	10	20	25	14
80772	2051	748	1515	1387	1608	828	1419	1456	2277	992	2155	1012	1479	1679	1908	1246
83756	53	20	34	40	44	27	25	36	59	35	65	32	35	38	44	31
1855	4611	1890	3121	3644	3649	2113	3018	3705	4164	2277	5275	2747	3431	4732	4073	3385
102466740	3	2	2	3	3	1	2	3	5	4	5	0	2	3	3	3
54587	5090	2041	3896	4219	3984	2014	3252	3404	3075	1272	6142	3010	4397	4627	4400	3596
54998	3877	1345	2430	2890	2505	1669	2088	2537	3143	1735	3918	2226	2208	3035	2679	2492
81669	10901	4998	7048	9587	7424	4872	6135	7927	5223	3120	12693	6713	9353	9375	7317	8384
148413	2024	1036	1737	2015	1710	1093	1398	1567	1916	897	2190	1428	1695	1765	1668	1616
55052	4675	2124	3091	4025	3539	2235	2747	3261	4183	2099	4827	2812	2804	3632	2986	3452
107984868	10	11	7	9	20	13	12	9	12	7	21	10	8	13	10	12
441869	131	50	102	90	72	44	64	80	47	12	116	66	81	93	91	70
105378585	32	7	16	18	17	8	10	17	13	2	19	10	18	16	9	10
643965	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0
102724312	107	42	63	107	76	57	80	77	78	49	92	85	54	104	95	71
107985729	76	37	66	78	71	47	66	64	88	47	85	73	59	90	90	82
64856	4224	1956	3656	3795	3284	1961	3211	3608	4093	2023	4174	2765	3181	4500	4158	3389
219293	90	46	56	100	73	47	56	83	99	73	119	64	69	108	66	85
83858	2666	1050	1331	1986	1918	1182	1349	1911	2220	1427	3132	1443	1800	2221	1786	1881
55210	2401	1032	1604	2095	1987	1295	1495	2088	2806	1759	2636	1540	1615	2469	2070	1912
339453	34	4	13	5	18	4	5	7	19	12	25	8	19	13	12	19
29101	3966	2147	3147	4087	3383	2508	2884	3493	4785	2449	4178	2964	3157	3471	3061	3408
643988	1840	870	1428	1860	1631	1225	1360	1769	1995	1134	1676	1488	1244	2083	1713	1656
105378586	39	11	30	39	21	18	38	57	37	19	50	28	26	62	48	46
142678	2626	1062	1924	2141	1962	1113	1619	2024	1840	938	2924	1488	2203	2660	2402	2037
8510	168	54	84	105	93	63	67	90	93	48	190	79	102	129	82	97
984	4809	1974	3318	3883	3595	2103	2853	3150	4063	1745	5570	2743	3680	3690	3632	3391
728661	9120	6413	9039	12581	9449	6442	8093	10358	8830	4681	10281	8697	10044	11421	9279	10821
8511	52	13	25	35	28	22	11	27	29	5	57	11	17	50	39	26
728642	5669	1970	3055	3814	3656	1899	2690	3149	3307	1483	6316	2752	4027	3782	3657	3463
9906	4248	2411	3583	4645	3600	2271	3062	3756	3162	1589	4748	3212	4176	4047	3534	4034
112268218	636	239	445	417	465	226	359	379	515	235	680	314	446	440	427	392
65220	5747	2771	5208	5389	5426	3025	4549	4437	6537	3017	6497	3841	5598	5104	5202	4734
2782	32201	20068	40027	41161	34691	19984	32447	31246	35175	15156	31818	26777	36419	33373	35540	32702
105378949	181	71	166	127	167	74	147	108	148	70	209	92	153	156	166	117
163688	251	71	150	108	145	74	111	83	83	36	355	103	238	141	133	124
339456	598	251	489	586	538	339	431	530	648	378	707	408	501	565	497	486
85452	13	4	5	5	5	2	3	8	1	3	10	4	16	7	5	5
107984872	1	2	7	9	7	3	4	2	2	1	6	2	9	3	8	5
105378589	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
2563	38	26	41	45	30	17	29	43	36	18	27	43	35	43	50	45
105378590	9	5	6	12	5	8	10	3	4	0	7	5	5	7	6	4
105378591	11	8	6	8	12	3	6	8	8	5	14	4	5	7	7	6
5590	2236	1154	2031	2394	1981	1286	1637	1899	1911	885	2404	1744	1946	2232	1906	1945
100506504	149	80	101	110	130	71	83	92	116	47	172	100	127	145	130	147
199990	2572	938	1827	1911	1696	1005	1683	1820	1735	957	2751	1429	1707	2263	2122	1768
112268219	1045	547	1004	998	1108	581	971	959	1423	688	1031	691	1045	1079	1223	970
105378593	32	13	15	19	29	6	26	22	23	16	50	14	28	24	34	30
6497	4365	3130	5381	6366	5404	3304	4794	5686	6035	3035	4407	4363	5051	6162	5780	5649
79906	316	185	232	345	313	246	233	337	434	226	372	263	250	356	293	285
100129534	199	103	141	202	155	117	128	204	168	81	253	118	156	175	141	170
11079	7345	3190	5046	6067	6098	3948	4956	5456	10073	4944	7794	4427	5030	5745	5105	5361
5192	2430	972	1411	1630	2634	1560	1797	2097	7514	3890	2329	1436	1393	1902	1706	1516
9651	1120	382	783	743	726	313	658	645	501	270	1283	438	986	920	933	629
55229	1212	600	1065	1253	1014	703	1023	1093	1168	642	1476	915	1108	1310	1058	1087
388585	5	0	2	1	3	1	1	1	1	0	3	4	2	0	3	1
115110	95	40	114	81	84	38	83	72	78	27	112	51	125	71	121	84
8764	816	203	554	397	518	179	422	319	332	118	962	279	608	410	619	326
100996583	20	6	7	14	14	11	10	15	8	6	39	14	17	10	14	14
127281	3419	1759	3188	3401	3073	1857	2820	3024	3804	1728	3417	2602	2964	3440	3173	2983
79258	872	345	605	698	643	361	622	580	866	425	919	529	612	734	668	566
105378597	12	6	5	8	11	4	7	6	5	2	18	7	14	9	6	7
