"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","39/148","101/4014",0.386138613861386,10.472705378646,18.8631537968165,1.66330486841452e-31,7.31854142102388e-30,5.95288058169407e-30,"6652/27347/22936/60481/7163/6675/6611/6414/55839/10257/9455/2289/56937/4094/7113/563/3817/2181/3248/11099/220/4824/445347/8611/79689/1622/65986/11057/56172/1718/10788/6319/3157/10397/8916/3638/354/8821/9590",39,"Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","9/148","71/4014",0.126760563380282,3.43795203654359,4.05485618683149,0.00104131122352573,0.0229088469175661,0.0186339903157236,"5833/3949/2194/10682/6319/1717/3157/2222/9415",9,"Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","16/148","194/4014",0.0824742268041237,2.23683477291725,3.45474011544824,0.0018288081222815,0.0261857035231985,0.0212993760715012,"60481/2289/3480/2194/9687/11057/84187/1717/23052/2444/5979/2222/4681/65055/7052/10202",16,"Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","16/148","199/4014",0.0804020100502513,2.18063289420073,3.34217094156076,0.00238051850210896,0.0261857035231985,0.0212993760715012,"6652/60481/31/2181/6510/3949/10682/1718/6319/1717/3157/30001/9415/3638/112399/7852",16,"Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","11/148","136/4014",0.0808823529411765,2.19366057233704,2.77064519062112,0.0108916120873192,0.0958461863684092,0.0779610128355481,"3915/6383/8997/3480/11099/3949/5797/1290/657/3638/8821",11,"Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","13/148","191/4014",0.0680628272251309,1.84597424649781,2.34372250150198,0.0226335663952945,0.165979486898827,0.135007238147371,"7163/57007/2026/6383/3486/10397/30001/8660/8991/9590/5317/7852/7052",13,"Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","12/148","189/4014",0.0634920634920635,1.72200772200772,1.98925994311278,0.0444764750872779,0.216454842576473,0.176063747550241,"6652/60481/9455/2289/11057/1717/2444/5979/2222/4681/4057/10202",12,"Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","11/148","169/4014",0.0650887573964497,1.76531264992803,1.98869684544381,0.0458260088853199,0.216454842576473,0.176063747550241,"3915/2026/56937/5654/3486/1290/5118/6695/59/7052/284217",11,"Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","10/148","149/4014",0.0671140939597315,1.8202430618538,1.99616052667557,0.0467691039812167,0.216454842576473,0.176063747550241,"60481/6611/2026/51166/3248/2194/1718/9588/3157/126",10,"Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","11/148","171/4014",0.064327485380117,1.74466571834993,1.94696765516683,0.0491942824037439,0.216454842576473,0.176063747550241,"220/56172/2150/3486/30001/2556/3553/7462/9590/7851/7852",11,"Hallmark","Apalu_vs_Control_DHT"
