"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS","REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS","11/248","63/9617",0.174603174603175,6.7708013312852,7.47636038855367,5.05992559261788e-07,0.000366844605464797,0.000343542316551425,"3915/27232/85301/8671/1290/168620/6469/3912/64714/7852/284217",11,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES","REACTOME_DEVELOPMENTAL_CELL_LINEAGES","12/248","88/9617",0.136363636363636,5.28793988269795,6.57419843651838,2.39539750371158e-06,0.000683672487456626,0.000640245015476623,"3915/27232/85301/9429/8671/1290/168620/6469/3912/64714/7852/284217",12,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","8/248","36/9617",0.222222222222222,8.6173835125448,7.44951673552806,2.8289896032688e-06,0.000683672487456626,0.000640245015476623,"60481/79993/31/2181/2194/6319/9200/79966",8,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_METABOLISM_OF_STEROIDS","REACTOME_METABOLISM_OF_STEROIDS","15/248","143/9617",0.104895104895105,4.06764606361381,6.01288679307831,3.91623726622195e-06,0.000709818004502729,0.000664729746503463,"6604/31/403313/2194/10682/1718/8647/6319/1717/3157/2222/8644/3638/2172/1583",15,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_CHOLESTEROL_BIOSYNTHESIS","REACTOME_CHOLESTEROL_BIOSYNTHESIS","6/248","27/9617",0.222222222222222,8.6173835125448,6.4484427479666,5.1972109972526e-05,0.00753595594601628,0.00705726545942722,"403313/10682/1718/1717/3157/2222",6,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF","REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF","8/248","55/9617",0.145454545454545,5.64046920821114,5.6149425695803,7.45527897480466e-05,0.00787712515321707,0.00737676330137932,"6604/31/2194/6319/1717/3157/2222/3638",8,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_FATTY_ACID_METABOLISM","REACTOME_FATTY_ACID_METABOLISM","14/248","164/9617",0.0853658536585366,3.31033634933124,4.85499463598446,8.41557289140232e-05,0.00787712515321707,0.00737676330137932,"60481/79993/31/2181/3248/2194/1622/6319/8644/9415/9200/79966/242/8529",14,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","7/248","42/9617",0.166666666666667,6.4630376344086,5.77252595736691,8.69200016906711e-05,0.00787712515321707,0.00737676330137932,"6604/31/2194/6319/1717/3157/2222",7,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","14/248","172/9617",0.0813953488372093,3.1563672168042,4.64261223112478,0.000140287256651122,0.0113009178968959,0.0105830737473653,"1135/113457/59345/2897/2898/112714/113/2550/1740/2556/10382/57554/83988/27092",14,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS","REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS","6/248","39/9617",0.153846153846154,5.96588089330025,5.05554096954804,0.000442110191582668,0.0320529888897434,0.030016955112718,"3915/85301/8671/1290/3912/284217",6,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_MET_ACTIVATES_PTK2_SIGNALING","REACTOME_MET_ACTIVATES_PTK2_SIGNALING","5/248","27/9617",0.185185185185185,7.18115292712067,5.2326117887227,0.00055547916576628,0.0359920042152779,0.0337057607533274,"3915/85301/1290/3912/284217",5,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM","20/248","345/9617",0.0579710144927536,2.24801309022908,3.84077109856315,0.00059572972494253,0.0359920042152779,0.0337057607533274,"1135/9455/113457/8495/590/59345/2897/3781/2898/22865/112714/113/2550/1740/2556/10382/57554/83988/170850/27092",20,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_LDL_CLEARANCE","REACTOME_LDL_CLEARANCE","4/248","17/9617",0.235294117647059,9.12428842504744,5.45444573706981,0.000788265796873681,0.0439609771333399,0.0411685375695161,"3949/6646/4864/23491",4,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION","REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION","3/248","8/9617",0.375,14.5418346774194,6.23390030481922,0.000861960357411245,0.0446372327945109,0.0418018368819739,"31/2194/51085",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","15/248","231/9617",0.0649350649350649,2.51806661080855,3.79955724027541,0.000931883192742161,0.0450410209825378,0.0421799760925399,"1135/113457/590/59345/2897/2898/112714/113/2550/1740/2556/10382/57554/83988/27092",15,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS","REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS","9/248","104/9617",0.0865384615384615,3.35580800248139,3.92983451136037,0.00142154890878932,0.0644139349295163,0.0603223056690207,"3915/2153/6383/3817/3486/354/3053/3912/7425",9,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS","REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS","3/248","10/9617",0.3,11.6334677419355,5.47340356639635,0.00177759652732938,0.0758092636655175,0.070993793196746,"2897/2898/83988",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS","REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS","4/248","23/9617",0.173913043478261,6.74403927068724,4.48701901134924,0.00259719252933504,0.104609143542662,0.0979642796152692,"60481/79993/2181/9200",4,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_MET_PROMOTES_CELL_MOTILITY","REACTOME_MET_PROMOTES_CELL_MOTILITY","5/248","38/9617",0.131578947368421,5.10239813242784,4.12236047750144,0.00274243945517443,0.104645716052708,0.0979985290076181,"3915/85301/1290/3912/284217",5,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS","REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS","5/248","43/9617",0.116279069767442,4.509096024006,3.75196878915762,0.0047384590311148,0.163937351210255,0.153523907848442,"113457/112714/1740/10382/57554",5,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION","REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION","4/248","27/9617",0.148148148148148,5.74492234169653,4.01678082947879,0.00474853017298671,0.163937351210255,0.153523907848442,"3915/25937/79966/3912",4,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_SPHINGOLIPID_METABOLISM","REACTOME_SPHINGOLIPID_METABOLISM","8/248","103/9617",0.0776699029126214,3.0119010335108,3.33979723487624,0.00504646447390989,0.166303942890212,0.155740171563248,"8869/8611/6610/9429/81849/123099/64781/89944",8,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING","REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING","4/248","28/9617",0.142857142857143,5.5397465437788,3.91381606262251,0.00542959125594608,0.171150159154822,0.16027855194898,"59345/2897/2898/83988",4,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS","REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS","4/248","32/9617",0.125,4.84727822580645,3.54657357094803,0.00880008289475352,0.265835837445679,0.248949713470001,"113457/10788/112714/10382",4,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC","REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC","4/248","33/9617",0.121212121212121,4.70039100684262,3.46423729192472,0.00981530245526404,0.284643771202657,0.266562950890329,"3915/3912/59/284217",4,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_GLYCOSPHINGOLIPID_BIOSYNTHESIS","REACTOME_GLYCOSPHINGOLIPID_BIOSYNTHESIS","3/248","18/9617",0.166666666666667,6.4630376344086,3.77427810184359,0.0103796091657809,0.289431409430429,0.271046474167153,"8869/81849/64781",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE","REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE","4/248","34/9617",0.117647058823529,4.56214421252372,3.38514020183477,0.0109036127395592,0.292782193932609,0.274184413918741,"3949/6646/4864/23491",4,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS","REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS","6/248","74/9617",0.0810810810810811,3.14418047079337,3.01238989678638,0.0118908088826275,0.298614427343058,0.279646178782247,"3915/6383/1290/3912/59/284217",6,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_RA_BIOSYNTHESIS_PATHWAY","REACTOME_RA_BIOSYNTHESIS_PATHWAY","3/248","19/9617",0.157894736842105,6.12287775891341,3.63644370631534,0.0120946554426218,0.298614427343058,0.279646178782247,"220/8644/126",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","5/248","54/9617",0.0925925925925926,3.59057646356033,3.10579413686952,0.0123912691207366,0.298614427343058,0.279646178782247,"8869/6610/81849/64781/89944",5,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA","REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA","2/248","7/9617",0.285714285714286,11.0794930875576,4.3401272783272,0.0127683410312204,0.298614427343058,0.279646178782247,"1687/79792",2,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE","REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE","3/248","20/9617",0.15,5.81673387096774,3.50813542788652,0.0139625429235833,0.316338863112435,0.296244742951028,"113457/112714/10382",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS","REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS","3/248","21/9617",0.142857142857143,5.5397465437788,3.38822765319499,0.0159849901839485,0.337067293809408,0.315656485672694,"27232/168620/64714",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION","REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION","3/248","21/9617",0.142857142857143,5.5397465437788,3.38822765319499,0.0159849901839485,0.337067293809408,0.315656485672694,"4094/860/25937",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_INTERLEUKIN_1_PROCESSING","REACTOME_INTERLEUKIN_1_PROCESSING","2/248","8/9617",0.25,9.6945564516129,4.00248558670978,0.0167371345891568,0.337067293809408,0.315656485672694,"3553/79792",2,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_LINOLEIC_ACID_LA_METABOLISM","REACTOME_LINOLEIC_ACID_LA_METABOLISM","2/248","8/9617",0.25,9.6945564516129,4.00248558670978,0.0167371345891568,0.337067293809408,0.315656485672694,"60481/9415",2,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS","REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS","3/248","22/9617",0.136363636363636,5.28793988269795,3.27577441827547,0.0181632552009795,0.355901622181356,0.333294441099055,"563/56172/119",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_AZATHIOPRINE_ADME","REACTOME_AZATHIOPRINE_ADME","3/248","23/9617",0.130434782608696,5.05802945301543,3.16997402807047,0.0204981646017262,0.371145784541732,0.34757028098645,"10257/3614/10451",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY","REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY","3/248","23/9617",0.130434782608696,5.05802945301543,3.16997402807047,0.0204981646017262,0.371145784541732,0.34757028098645,"113457/112714/10382",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","2/248","9/9617",0.222222222222222,8.6173835125448,3.71952110565382,0.021156778563759,0.371145784541732,0.34757028098645,"2194/6319",2,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_SIGNAL_ATTENUATION","REACTOME_SIGNAL_ATTENUATION","2/248","9/9617",0.222222222222222,8.6173835125448,3.71952110565382,0.021156778563759,0.371145784541732,0.34757028098645,"2887/8660",2,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","5/248","62/9617",0.0806451612903226,3.12727627471384,2.73388878735894,0.0215008592424176,0.371145784541732,0.34757028098645,"6675/8869/5373/81849/55808",5,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_PYROPTOSIS","REACTOME_PYROPTOSIS","3/248","24/9617",0.125,4.84727822580645,3.07014184837171,0.0229901415501878,0.38762447962526,0.363002235002966,"3553/1687/79792",3,"Reactome","Apalu_vs_Control_DHT"
"REACTOME_L1CAM_INTERACTIONS","REACTOME_L1CAM_INTERACTIONS","7/248","113/9617",0.0619469026548673,2.40219097916072,2.4393247652959,0.0267092183540223,0.420871846028571,0.394137699729116,"3915/113457/112714/6900/10382/3912/284217",7,"Reactome","Apalu_vs_Control_DHT"
