"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","12/224","45/7868",0.266666666666667,9.36666666666667,9.63474674791199,2.65178945257582e-09,1.23308209544776e-06,1.16957871645186e-06,"60481/2181/2194/10682/1718/6646/6319/1717/9619/3157/2222/9415",12,"WikiPathways","Apalu_vs_Control_DHT"
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","WP_OMEGA9_FATTY_ACID_SYNTHESIS","6/224","14/7868",0.428571428571429,15.0535714285714,9.0089363756366,1.23568731861439e-06,0.000287297301577846,0.000272501571841805,"60481/2181/2194/6319/9415/79966",6,"WikiPathways","Apalu_vs_Control_DHT"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","13/224","104/7868",0.125,4.390625,5.95829375885302,7.04167345206722e-06,0.00109145938507042,0.00103524953558462,"60481/403313/2181/10682/1718/8647/6319/1717/9619/3157/2222/9415/1583",13,"WikiPathways","Apalu_vs_Control_DHT"
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","WP_CHOLESTEROL_SYNTHESIS_DISORDERS","5/224","17/7868",0.294117647058824,10.3308823529412,6.59254238710333,8.36590090892711e-05,0.00751745952164887,0.00713031248346548,"10682/1718/1717/3157/2222",5,"WikiPathways","Apalu_vs_Control_DHT"
"WP_CHOLESTEROL_METABOLISM","WP_CHOLESTEROL_METABOLISM","9/224","66/7868",0.136363636363636,4.78977272727273,5.29237252237152,9.4362489315147e-05,0.00751745952164887,0.00713031248346548,"3949/10682/1718/6646/8647/1717/4864/3157/2222",9,"WikiPathways","Apalu_vs_Control_DHT"
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","9/224","67/7868",0.134328358208955,4.71828358208955,5.23206362307895,0.000106347549250159,0.00751745952164887,0.00713031248346548,"31/3949/2194/23175/1622/6319/3157/2222/3638",9,"WikiPathways","Apalu_vs_Control_DHT"
"WP_FOXA2_PATHWAY","WP_FOXA2_PATHWAY","5/224","18/7868",0.277777777777778,9.75694444444444,6.36681548272202,0.000113166057315144,0.00751745952164887,0.00713031248346548,"10257/31/2194/8660/51085",5,"WikiPathways","Apalu_vs_Control_DHT"
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","6/224","33/7868",0.181818181818182,6.38636363636364,5.30763909214106,0.000289515658183291,0.0168280976319038,0.0159614553656314,"3949/10682/1718/1717/3157/2222",6,"WikiPathways","Apalu_vs_Control_DHT"
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","6/224","36/7868",0.166666666666667,5.85416666666667,4.99686757041477,0.000474120190944902,0.0244962098654866,0.0232346619889958,"10257/3248/5734/8644/1909/1583",6,"WikiPathways","Apalu_vs_Control_DHT"
"WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS","WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS","3/224","7/7868",0.428571428571429,15.0535714285714,6.3674430929747,0.000732184209525517,0.0340465657429365,0.0322931772411781,"10682/1718/1717",3,"WikiPathways","Apalu_vs_Control_DHT"
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","6/224","42/7868",0.142857142857143,5.01785714285714,4.46907311203711,0.00110759614404834,0.0440455076491482,0.0417771764685752,"6675/6510/3949/2194/6646/8501",6,"WikiPathways","Apalu_vs_Control_DHT"
"WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","4/224","17/7868",0.235294117647059,8.26470588235294,5.13272803661,0.0011366582619135,0.0440455076491482,0.0417771764685752,"3949/2194/6319/3157",4,"WikiPathways","Apalu_vs_Control_DHT"
"WP_FATTY_ACID_BIOSYNTHESIS","WP_FATTY_ACID_BIOSYNTHESIS","4/224","22/7868",0.181818181818182,6.38636363636364,4.33063022933604,0.00312447263656336,0.10523033786353,0.0998110052401109,"31/2181/2194/6319",4,"WikiPathways","Apalu_vs_Control_DHT"
"WP_ENTEROHEPATIC_CIRCULATION_OF_BILE_ACIDS","WP_ENTEROHEPATIC_CIRCULATION_OF_BILE_ACIDS","3/224","11/7868",0.272727272727273,9.57954545454545,4.87416795991592,0.00317185330971368,0.10523033786353,0.0998110052401109,"10257/8647/2172",3,"WikiPathways","Apalu_vs_Control_DHT"
