"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","31/82","101/4014",0.306930693069307,15.0246317314658,20.6125622626191,2.65638498423086e-30,1.03599014385003e-28,9.78668152085052e-29,"6652/7163/22936/27347/60481/6611/6675/10257/9455/55839/2289/563/3248/4094/79689/1622/11099/2181/7113/445347/220/56937/10397/3157/10788/3817/11057/1718/8916/354/9590",31,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","9/82","149/4014",0.0604026845637584,2.95678507120642,3.51476475618367,0.00303770253630821,0.0592351994580102,0.0559576783004145,"60481/6611/2026/3248/51166/2194/3157/1718/126",9,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","9/82","191/4014",0.0471204188481675,2.30660196654323,2.67173016337731,0.0149671365914155,0.194572775688401,0.183806940596331,"7163/57007/2026/10397/3486/7852/7052/9590/5317",9,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","8/82","194/4014",0.0412371134020619,2.01860699019361,2.09995789569306,0.0429171064798632,0.418441788178666,0.395289138630319,"60481/2289/3480/2194/4681/9687/11057/7052",8,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","7/82","169/4014",0.0414201183431953,2.02756530523885,1.97078552593566,0.055696026063424,0.434429003294707,0.410391770993651,"3915/2026/5654/56937/3486/7052/6695",7,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","7/82","189/4014",0.037037037037037,1.8130081300813,1.65327394844966,0.0895295515175362,0.581942084863985,0.549742860195398,"6652/60481/9455/2289/4681/11057/4057",7,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","7/82","199/4014",0.0351758793969849,1.72190219389631,1.5083161465281,0.110061475941379,0.613199651673399,0.57927092600726,"6652/60481/2181/3157/1718/9415/7852",7,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","5/82","136/4014",0.0367647058823529,1.79967718794835,1.36998247157297,0.14365730628078,0.686885112073797,0.648879323146637,"3915/11099/5797/8997/3480",5,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","6/82","183/4014",0.0327868852459016,1.60495801679328,1.20956568252611,0.169131308469724,0.686885112073797,0.648879323146637,"60481/27232/1644/116285/84913/126",6,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","3/82","71/4014",0.0422535211267606,2.06836138783923,1.31150128634182,0.17612438771123,0.686885112073797,0.648879323146637,"2194/3157/9415",3,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","5/82","156/4014",0.032051282051282,1.56894934333959,1.04662122916328,0.212542677948463,0.75356040363546,0.711865428535523,"7367/8647/57118/57451/5317",5,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","5/82","171/4014",0.0292397660818713,1.43132220795892,0.832337447204181,0.270048657291901,0.858127861170342,0.810647102320162,"220/3486/7462/7852/9590",5,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","2/82","53/4014",0.0377358490566038,1.84721583064887,0.89652896908218,0.295086985762258,0.858127861170342,0.810647102320162,"56937/25937",2,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","5/82","181/4014",0.0276243093922652,1.35224363293357,0.700241395472349,0.310192587996667,0.858127861170342,0.810647102320162,"79971/3480/5583/10397/7052",5,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","3/82","101/4014",0.0297029702970297,1.45399661917411,0.667256991764652,0.340750179810309,0.858127861170342,0.810647102320162,"60481/7367/1718",3,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","3/82","103/4014",0.029126213592233,1.42576367511248,0.632088751545967,0.352052455864756,0.858127861170342,0.810647102320162,"27232/1718/9415",3,"Hallmark","Bica_vs_Control_DHT"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","1/82","31/4014",0.032258064516129,1.57907159716758,0.467350497109605,0.473903072851612,0.982396316134348,0.928039704850261,"84441",1,"Hallmark","Bica_vs_Control_DHT"
