"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","6/117","57/7119",0.105263157894737,6.40485829959514,5.29564364902922,0.00031750927028367,0.06921702092184,0.06921702092184,"60481/79993/2181/2194/79966/9415",6,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","4/117","27/7119",0.148148148148148,9.01424501424501,5.39288306889697,0.000908026554891422,0.098974894483165,0.098974894483165,"60481/79993/79966/9415",4,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","5/117","65/7119",0.0769230769230769,4.68047337278107,3.85303984561463,0.00414560323616377,0.301247168494568,0.301247168494568,"1622/2181/3157/79966/9415",5,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","7/117","168/7119",0.0416666666666667,2.53525641025641,2.60299171314673,0.0203815685730086,0.940187473723539,0.940187473723539,"3206/3248/4094/7113/3480/85414/3486",7,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","3/117","41/7119",0.0731707317073171,4.45215759849906,2.8654189762779,0.0293255778690311,0.940187473723539,0.940187473723539,"10257/8647/9619",3,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","2/117","18/7119",0.111111111111111,6.76068376068376,3.16308891736986,0.0345160260053334,0.940187473723539,0.940187473723539,"2181/2194",2,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","2/117","19/7119",0.105263157894737,6.40485829959514,3.04924842417948,0.0381697038778224,0.940187473723539,0.940187473723539,"222546/168620",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","2/117","21/7119",0.0952380952380952,5.7948717948718,2.84432696707888,0.0458930853043805,0.940187473723539,0.940187473723539,"116285/3157",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","2/117","24/7119",0.0833333333333333,5.07051282051282,2.58189999919751,0.0584375211590846,0.940187473723539,0.940187473723539,"5320/9415",2,"KEGG","Bica_vs_Control_DHT"
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","4/117","90/7119",0.0444444444444444,2.7042735042735,2.10317129057007,0.0603114124413302,0.940187473723539,0.940187473723539,"5797/3480/29119/1496",4,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","3/117","58/7119",0.0517241379310345,3.14721485411141,2.12235125968603,0.0696172466104909,0.940187473723539,0.940187473723539,"7367/220/126",3,"KEGG","Bica_vs_Control_DHT"
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","5/117","137/7119",0.0364963503649635,2.2206625491297,1.86477677296097,0.0746375086564604,0.940187473723539,0.940187473723539,"113457/715/81035/9902/112714",5,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","2/117","28/7119",0.0714285714285714,4.34615384615385,2.2931477997791,0.0767424316776552,0.940187473723539,0.940187473723539,"60481/79993",2,"KEGG","Bica_vs_Control_DHT"
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","3/117","62/7119",0.0483870967741935,2.94416873449131,1.9873786052236,0.0814743892977156,0.940187473723539,0.940187473723539,"22936/23299/7852",3,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","4/117","100/7119",0.04,2.43384615384615,1.8664905867582,0.0819240586633768,0.940187473723539,0.940187473723539,"29119/1496/10451/7852",4,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","4/117","100/7119",0.04,2.43384615384615,1.8664905867582,0.0819240586633768,0.940187473723539,0.940187473723539,"9455/2897/59345/2898",4,"KEGG","Bica_vs_Control_DHT"
