"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","5/141","36/9617",0.138888888888889,9.47301024428684,6.21266332991159,0.000165003215080157,0.0636314927403091,0.0614389649707642,"60481/79993/2181/2194/79966",5,"Reactome","Bica_vs_Control_DHT"
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS","REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS","6/141","63/9617",0.0952380952380952,6.49577845322526,5.33827731488722,0.000305306654489741,0.0636314927403091,0.0614389649707642,"3915/27232/85301/3912/168620/7852",6,"Reactome","Bica_vs_Control_DHT"
"REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS","REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS","3/141","10/9617",0.3,20.4617021276596,7.51071328414711,0.000343335392483682,0.0636314927403091,0.0614389649707642,"2897/2898/83988",3,"Reactome","Bica_vs_Control_DHT"
"REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION","REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION","4/141","27/9617",0.148148148148148,10.1045442605726,5.7786321254132,0.000597866134035717,0.0766871800374661,0.0740447970827484,"3915/3912/79966/25937",4,"Reactome","Bica_vs_Control_DHT"
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING","REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING","4/141","28/9617",0.142857142857143,9.74366767983789,5.65171504617184,0.00068963291400599,0.0766871800374661,0.0740447970827484,"2897/59345/2898/83988",4,"Reactome","Bica_vs_Control_DHT"
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","9/141","172/9617",0.0523255813953488,3.56890153389411,4.14672235491915,0.000942703851564418,0.0873572235783028,0.0843471867189216,"1135/113457/2897/59345/57554/2898/112714/83988/27092",9,"Reactome","Bica_vs_Control_DHT"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM","13/141","345/9617",0.0376811594202899,2.57006886627608,3.622728565221,0.00163410129539806,0.125517806163669,0.121192883649131,"1135/9455/8495/590/113457/2897/22865/59345/57554/2898/112714/83988/27092",13,"Reactome","Bica_vs_Control_DHT"
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES","REACTOME_DEVELOPMENTAL_CELL_LINEAGES","6/141","88/9617",0.0681818181818182,4.65038684719536,4.1961482283301,0.00180601159947725,0.125517806163669,0.121192883649131,"3915/27232/85301/3912/168620/7852",6,"Reactome","Bica_vs_Control_DHT"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","10/141","231/9617",0.0432900432900433,2.95262656964785,3.66419997281218,0.00208470607225073,0.12878850846349,0.124350888520219,"1135/590/113457/2897/59345/57554/2898/112714/83988/27092",10,"Reactome","Bica_vs_Control_DHT"
"REACTOME_FATTY_ACID_METABOLISM","REACTOME_FATTY_ACID_METABOLISM","8/141","164/9617",0.048780487804878,3.32710603701782,3.66646484755575,0.00280249507100905,0.155818725948103,0.150449735391012,"60481/79993/3248/1622/2181/2194/79966/9415",8,"Reactome","Bica_vs_Control_DHT"
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS","REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS","6/141","104/9617",0.0576923076923077,3.93494271685761,3.67072464944291,0.0041800779574327,0.188495609067807,0.182000682742487,"3915/2153/3486/3817/3912/354",6,"Reactome","Bica_vs_Control_DHT"
"REACTOME_AZATHIOPRINE_ADME","REACTOME_AZATHIOPRINE_ADME","3/141","23/9617",0.130434782608696,8.89639222941721,4.62473690163432,0.00440727143503864,0.188495609067807,0.182000682742487,"10257/3614/10451",3,"Reactome","Bica_vs_Control_DHT"
"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS","REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS","3/141","23/9617",0.130434782608696,8.89639222941721,4.62473690163432,0.00440727143503864,0.188495609067807,0.182000682742487,"60481/79993/2181",3,"Reactome","Bica_vs_Control_DHT"
"REACTOME_LINOLEIC_ACID_LA_METABOLISM","REACTOME_LINOLEIC_ACID_LA_METABOLISM","2/141","8/9617",0.25,17.0514184397163,5.54004855197894,0.00564037638956507,0.224003519471299,0.216285109675052,"60481/9415",2,"Reactome","Bica_vs_Control_DHT"
"REACTOME_MET_ACTIVATES_PTK2_SIGNALING","REACTOME_MET_ACTIVATES_PTK2_SIGNALING","3/141","27/9617",0.111111111111111,7.57840819542947,4.17529970136027,0.00697499236530333,0.258539717007244,0.249631305705593,"3915/85301/3912",3,"Reactome","Bica_vs_Control_DHT"
"REACTOME_DRUG_ADME","REACTOME_DRUG_ADME","5/141","92/9617",0.0543478260869565,3.7068300955905,3.18212089721798,0.0112012438936469,0.366802342889078,0.354163564697898,"10257/3614/590/7367/10451",5,"Reactome","Bica_vs_Control_DHT"
"REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS","REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS","3/141","32/9617",0.09375,6.39428191489362,3.72826546414854,0.0112151795487668,0.366802342889078,0.354163564697898,"113457/10788/112714",3,"Reactome","Bica_vs_Control_DHT"
"REACTOME_PHYSIOLOGICAL_FACTORS","REACTOME_PHYSIOLOGICAL_FACTORS","2/141","12/9617",0.166666666666667,11.3676122931442,4.38343876524968,0.0127942817167318,0.395201146361272,0.381583840674458,"4880/25937",2,"Reactome","Bica_vs_Control_DHT"
"REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM","REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM","2/141","13/9617",0.153846153846154,10.493180578287,4.17783804229625,0.0149764651501901,0.407300861512973,0.393266640234033,"60481/9415",2,"Reactome","Bica_vs_Control_DHT"
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION","REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION","2/141","13/9617",0.153846153846154,10.493180578287,4.17783804229625,0.0149764651501901,0.407300861512973,0.393266640234033,"3008/3009",2,"Reactome","Bica_vs_Control_DHT"
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS","REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS","9/141","270/9617",0.0333333333333333,2.27352245862884,2.5890868953298,0.0177435568404291,0.407300861512973,0.393266640234033,"2289/9619/3480/220/2194/59345/8970/9687/126",9,"Reactome","Bica_vs_Control_DHT"
"REACTOME_MET_PROMOTES_CELL_MOTILITY","REACTOME_MET_PROMOTES_CELL_MOTILITY","3/141","38/9617",0.0789473684210526,5.38465845464726,3.30340436815024,0.0179002217176224,0.407300861512973,0.393266640234033,"3915/85301/3912",3,"Reactome","Bica_vs_Control_DHT"
"REACTOME_PEPTIDE_HORMONE_METABOLISM","REACTOME_PEPTIDE_HORMONE_METABOLISM","4/141","69/9617",0.0579710144927536,3.9539521019632,3.00376565191821,0.0183586098639013,0.407300861512973,0.393266640234033,"590/5873/25924/3626",4,"Reactome","Bica_vs_Control_DHT"
"REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS","REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS","3/141","39/9617",0.0769230769230769,5.24659028914348,3.24137670846928,0.0191880918297427,0.407300861512973,0.393266640234033,"3915/85301/3912",3,"Reactome","Bica_vs_Control_DHT"
"REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_PIGMENTATION","REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_PIGMENTATION","3/141","39/9617",0.0769230769230769,5.24659028914348,3.24137670846928,0.0191880918297427,0.407300861512973,0.393266640234033,"6604/5873/25924",3,"Reactome","Bica_vs_Control_DHT"
"REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","2/141","15/9617",0.133333333333333,9.09408983451537,3.82672326353874,0.019778998670594,0.407300861512973,0.393266640234033,"27232/8659",2,"Reactome","Bica_vs_Control_DHT"
"REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES","REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES","2/141","15/9617",0.133333333333333,9.09408983451537,3.82672326353874,0.019778998670594,0.407300861512973,0.393266640234033,"8495/22865",2,"Reactome","Bica_vs_Control_DHT"
"REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF","REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF","2/141","16/9617",0.125,8.52570921985816,3.67488241923982,0.0223899854664803,0.429270066184933,0.414478859815062,"3008/3009",2,"Reactome","Bica_vs_Control_DHT"
