"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","WP_OMEGA9_FATTY_ACID_SYNTHESIS","5/124","14/7868",0.357142857142857,22.6612903225806,10.2644489252808,1.60247284129547e-06,0.000472729488182163,0.00045375283611419,"60481/2181/2194/79966/9415",5,"WikiPathways","Bica_vs_Control_DHT"
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","7/124","45/7868",0.155555555555556,9.87025089605735,7.55071783607387,5.6251531136561e-06,0.000829710084264275,0.000796403256617627,"60481/2181/9619/2194/3157/1718/9415",7,"WikiPathways","Bica_vs_Control_DHT"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","7/124","104/7868",0.0673076923076923,4.27078163771712,4.24872089689864,0.00122261059127952,0.089303612767424,0.0857187219783659,"60481/2181/8647/9619/3157/1718/9415",7,"WikiPathways","Bica_vs_Control_DHT"
"WP_OMEGA6FATTY_ACIDS_IN_SENESCENCE","WP_OMEGA6FATTY_ACIDS_IN_SENESCENCE","5/124","52/7868",0.0961538461538462,6.10111662531017,4.6698979996364,0.0012890070233208,0.089303612767424,0.0857187219783659,"60481/10257/3248/9415/5734",5,"WikiPathways","Bica_vs_Control_DHT"
"WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS","WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS","3/124","15/7868",0.2,12.6903225806452,5.73438795592536,0.00151362055538007,0.089303612767424,0.0857187219783659,"60481/2181/9415",3,"WikiPathways","Bica_vs_Control_DHT"
"WP_LINOLEIC_ACID_METABOLISM_AFFECTED_BY_SARSCOV2","WP_LINOLEIC_ACID_METABOLISM_AFFECTED_BY_SARSCOV2","2/124","6/7868",0.333333333333333,21.1505376344086,6.24781971168641,0.00354586259261918,0.17433824413711,0.167339831125361,"60481/9415",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER","WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER","6/124","109/7868",0.055045871559633,3.49274933412252,3.3160550178192,0.00733986115645435,0.281144101880371,0.269858210190258,"6604/10257/2289/10397/3817/354",6,"WikiPathways","Bica_vs_Control_DHT"
"WP_OMEGA3FATTY_ACIDS_IN_SENESCENCE","WP_OMEGA3FATTY_ACIDS_IN_SENESCENCE","3/124","26/7868",0.115384615384615,7.32133995037221,4.08521715584129,0.00762424683065414,0.281144101880371,0.269858210190258,"60481/3248/9415",3,"WikiPathways","Bica_vs_Control_DHT"
"WP_ENTEROHEPATIC_CIRCULATION_OF_BILE_ACIDS","WP_ENTEROHEPATIC_CIRCULATION_OF_BILE_ACIDS","2/124","11/7868",0.181818181818182,11.5366568914956,4.42490091062563,0.0123478051392886,0.404733612898905,0.388486500873525,"10257/8647",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_FATTY_ACID_TRANSPORTERS","WP_FATTY_ACID_TRANSPORTERS","2/124","13/7868",0.153846153846154,9.76178660049628,4.0005895703915,0.0171553443521159,0.428735034132475,0.411524439541965,"1622/2181",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_GLUCOCORTICOID_RECEPTOR_PATHWAY","WP_GLUCOCORTICOID_RECEPTOR_PATHWAY","4/124","64/7868",0.0625,3.96572580645161,3.01435986284958,0.0180514834523814,0.428735034132475,0.411524439541965,"57007/10769/11057/347902",4,"WikiPathways","Bica_vs_Control_DHT"
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","3/124","36/7868",0.0833333333333333,5.28763440860215,3.26261181075588,0.0186856368812304,0.428735034132475,0.411524439541965,"10257/3248/5734",3,"WikiPathways","Bica_vs_Control_DHT"
"WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY","WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY","2/124","14/7868",0.142857142857143,9.06451612903226,3.82146274210007,0.0198104145639068,0.428735034132475,0.411524439541965,"10257/8647",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_VITAMIN_D_RECEPTOR_PATHWAY","WP_VITAMIN_D_RECEPTOR_PATHWAY","6/124","139/7868",0.0431654676258993,2.73891854258529,2.6173254643409,0.0222869170006914,0.428735034132475,0.411524439541965,"79689/5005/5004/4345/3486/5734",6,"WikiPathways","Bica_vs_Control_DHT"
"WP_FARNESOID_X_RECEPTOR_PATHWAY","WP_FARNESOID_X_RECEPTOR_PATHWAY","2/124","15/7868",0.133333333333333,8.46021505376344,3.65941718526584,0.022625305949834,0.428735034132475,0.411524439541965,"2289/8647",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER","WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER","2/124","16/7868",0.125,7.93145161290323,3.51177584446676,0.0255944067445171,0.428735034132475,0.411524439541965,"5873/25924",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","3/124","42/7868",0.0714285714285714,4.53225806451613,2.9042894301239,0.0280728083603623,0.428735034132475,0.411524439541965,"6675/2194/8501",3,"WikiPathways","Bica_vs_Control_DHT"
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","WP_CHOLESTEROL_SYNTHESIS_DISORDERS","2/124","17/7868",0.117647058823529,7.46489563567362,3.37641822555282,0.0287122398765124,0.428735034132475,0.411524439541965,"3157/1718",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","2/124","17/7868",0.117647058823529,7.46489563567362,3.37641822555282,0.0287122398765124,0.428735034132475,0.411524439541965,"2194/3157",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_NUCLEAR_RECEPTORS_METAPATHWAY","WP_NUCLEAR_RECEPTORS_METAPATHWAY","9/124","279/7868",0.032258064516129,2.0468262226847,2.25277160680116,0.0317727916693491,0.428735034132475,0.411524439541965,"57007/10257/2289/1622/8647/2194/10769/11057/347902",9,"WikiPathways","Bica_vs_Control_DHT"
"WP_CHOLESTASIS","WP_CHOLESTASIS","2/124","18/7868",0.111111111111111,7.05017921146953,3.25163963559715,0.0319734601725913,0.428735034132475,0.411524439541965,"10257/8647",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_FOXA2_PATHWAY","WP_FOXA2_PATHWAY","2/124","18/7868",0.111111111111111,7.05017921146953,3.25163963559715,0.0319734601725913,0.428735034132475,0.411524439541965,"10257/2194",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_AMINO_ACID_METABOLISM","WP_AMINO_ACID_METABOLISM","4/124","84/7868",0.0476190476190476,3.02150537634409,2.35692561119068,0.0432244512791492,0.525891665107287,0.504780938140447,"6611/11112/1644/126",4,"WikiPathways","Bica_vs_Control_DHT"
"WP_FATTY_ACID_BIOSYNTHESIS","WP_FATTY_ACID_BIOSYNTHESIS","2/124","22/7868",0.0909090909090909,5.7683284457478,2.83391027794128,0.0463497738738626,0.525891665107287,0.504780938140447,"2181/2194",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_HIPPOYAP_SIGNALING","WP_HIPPOYAP_SIGNALING","2/124","22/7868",0.0909090909090909,5.7683284457478,2.83391027794128,0.0463497738738626,0.525891665107287,0.504780938140447,"10397/25937",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_INFLAMMATORY_RESPONSE_PATHWAY","WP_INFLAMMATORY_RESPONSE_PATHWAY","2/124","22/7868",0.0909090909090909,5.7683284457478,2.83391027794128,0.0463497738738626,0.525891665107287,0.504780938140447,"3915/3912",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_ECTODERM_DIFFERENTIATION","WP_ECTODERM_DIFFERENTIATION","5/124","128/7868",0.0390625,2.47857862903226,2.13408481068302,0.0513000182722795,0.560500199641572,0.538000191627414,"10257/8495/4920/9687/1496",5,"WikiPathways","Bica_vs_Control_DHT"
"WP_DISORDERS_OF_BILE_ACID_SYNTHESIS_AND_BILIARY_TRANSPORT","WP_DISORDERS_OF_BILE_ACID_SYNTHESIS_AND_BILIARY_TRANSPORT","2/124","28/7868",0.0714285714285714,4.53225806451613,2.36922417367518,0.071384991115574,0.59200877373088,0.568243925543646,"10257/8647",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY","WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY","2/124","29/7868",0.0689655172413793,4.37597330367075,2.30462578127116,0.0759057692125267,0.59200877373088,0.568243925543646,"8647/9619",2,"WikiPathways","Bica_vs_Control_DHT"
"WP_DISORDERS_IN_KETOLYSIS","WP_DISORDERS_IN_KETOLYSIS","1/124","5/7868",0.2,12.6903225806452,3.30864448840676,0.0763740560610361,0.59200877373088,0.568243925543646,"3157",1,"WikiPathways","Bica_vs_Control_DHT"
"WP_METABOLISM_OF_ALPHALINOLENIC_ACID","WP_METABOLISM_OF_ALPHALINOLENIC_ACID","1/124","5/7868",0.2,12.6903225806452,3.30864448840676,0.0763740560610361,0.59200877373088,0.568243925543646,"9415",1,"WikiPathways","Bica_vs_Control_DHT"
"WP_PROLINE_AND_HYDROXYPROLINE_PATHWAYS","WP_PROLINE_AND_HYDROXYPROLINE_PATHWAYS","1/124","5/7868",0.2,12.6903225806452,3.30864448840676,0.0763740560610361,0.59200877373088,0.568243925543646,"8659",1,"WikiPathways","Bica_vs_Control_DHT"
"WP_SEBALEIC_ACID_FORMATION_AND_METABOLISM","WP_SEBALEIC_ACID_FORMATION_AND_METABOLISM","1/124","5/7868",0.2,12.6903225806452,3.30864448840676,0.0763740560610361,0.59200877373088,0.568243925543646,"9415",1,"WikiPathways","Bica_vs_Control_DHT"
"WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY","WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY","3/124","63/7868",0.0476190476190476,3.02150537634409,2.03840965284755,0.0767796644665467,0.59200877373088,0.568243925543646,"29119/1496/27092",3,"WikiPathways","Bica_vs_Control_DHT"
"WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME","WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME","3/124","63/7868",0.0476190476190476,3.02150537634409,2.03840965284755,0.0767796644665467,0.59200877373088,0.568243925543646,"4986/2289/3480",3,"WikiPathways","Bica_vs_Control_DHT"
