"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","11/215","57/7119",0.192982456140351,6.38996328029376,7.20953423051372,8.03318569390763e-07,0.000220109288013069,0.000216473214488458,"60481/79993/31/2181/2194/2180/6319/9415/126129/79966/9200",11,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","6/215","27/7119",0.222222222222222,7.35813953488372,5.8408412651579,0.000123073498344715,0.0136075336967564,0.0133827453951965,"60481/79993/6319/9415/79966/9200",6,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","5/215","18/7119",0.277777777777778,9.19767441860465,6.14490244346149,0.000148987595219961,0.0136075336967564,0.0133827453951965,"10682/1718/6646/1717/2222",5,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Digestive system","hsa04976","Bile secretion","9/215","80/7119",0.1125,3.72505813953488,4.32526891247979,0.000637210194694608,0.0381838237092341,0.0375530498254473,"10257/3949/3781/7367/8671/3156/9429/8647/113",9,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","8/215","65/7119",0.123076923076923,4.07527728085868,4.39512327690848,0.000696785104183104,0.0381838237092341,0.0375530498254473,"2181/1622/2180/6319/3157/9415/126129/79966",8,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","4/215","18/7119",0.222222222222222,7.35813953488372,4.76600376749609,0.00177368153710486,0.0809981235277887,0.0796600830699728,"31/2181/2194/2180",4,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","5/215","40/7119",0.125,4.13895348837209,3.51298868118226,0.00667139840920549,0.237324697524167,0.233404235751774,"3949/3480/8644/113/1583",5,"KEGG","Enza_vs_Control_DHT"
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","5/215","41/7119",0.121951219512195,4.03800340328985,3.44249038307723,0.0074154780412037,0.237324697524167,0.233404235751774,"10257/9619/9429/8647/6833",5,"KEGG","Enza_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","9/215","115/7119",0.0782608695652174,2.59134479271992,3.03590354480034,0.0077953367799909,0.237324697524167,0.233404235751774,"31/3480/5208/2194/6319/3156/126129/148/79966",9,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","8/215","100/7119",0.08,2.64893023255814,2.93030273169306,0.0104577232592834,0.286541617304366,0.281808121513322,"9455/59345/2897/2898/51764/113/7220/775",8,"KEGG","Enza_vs_Control_DHT"
NA,NA,"hsa04081","Hormone signaling","10/215","154/7119",0.0649350649350649,2.15010570824524,2.54615823129568,0.0179198848267329,0.446368040229528,0.438994307717093,"4986/59345/3480/4880/657/51764/113/269/148/6755",10,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","7/215","92/7119",0.0760869565217391,2.51936299292214,2.58832204596604,0.0208298903297129,0.447730928597803,0.440334681986314,"59345/3781/1644/51764/7220/775/242",7,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","5/215","53/7119",0.0943396226415094,3.12373848179026,2.73841954064843,0.0212427082911366,0.447730928597803,0.440334681986314,"3949/113/8913/775/1583",5,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","5/215","58/7119",0.0862068965517241,2.85445068163593,2.5023266971944,0.0300810064769071,0.588728269619467,0.579002831435203,"3781/2550/8913/7220/775",5,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","4/215","41/7119",0.0975609756097561,3.23040272263188,2.52736383202694,0.0342534305729201,0.625695998465341,0.615359875555618,"2181/2180/126129/126",4,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","6/215","85/7119",0.0705882352941176,2.33729138166895,2.18867943392833,0.0429868105755447,0.689697492297457,0.678304103066266,"3949/57118/113/8913/775/1583",6,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","4/215","45/7119",0.0888888888888889,2.94325581395349,2.30755220620815,0.045954145909201,0.689697492297457,0.678304103066266,"3949/6646/4864/8647",4,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","7/215","109/7119",0.0642201834862385,2.1264348197141,2.09126051238616,0.0463734234382126,0.689697492297457,0.678304103066266,"31/23175/2194/6319/126129/126/79966",7,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","3/215","28/7119",0.107142857142857,3.54767441860465,2.38351028205515,0.0511153132000363,0.689697492297457,0.678304103066266,"60481/79993/9200",3,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","7/215","115/7119",0.0608695652173913,2.01549039433772,1.93731170138888,0.0587742919976576,0.689697492297457,0.678304103066266,"5320/5583/4880/113/148/1907/775",7,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","5/215","70/7119",0.0714285714285714,2.36511627906977,2.02536238883214,0.0596906878978207,0.689697492297457,0.678304103066266,"59345/2550/51764/113/775",5,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","5/215","70/7119",0.0714285714285714,2.36511627906977,2.02536238883214,0.0596906878978207,0.689697492297457,0.678304103066266,"59345/2550/2868/51764/113",5,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","2/215","14/7119",0.142857142857143,4.73023255813953,2.46527695215327,0.0650922385381995,0.689697492297457,0.678304103066266,"8869/81849",2,"KEGG","Enza_vs_Control_DHT"
NA,NA,"hsa04082","Neuroactive ligand signaling","8/215","142/7119",0.0563380281690141,1.86544382574517,1.83821592865249,0.0652159543614614,0.689697492297457,0.678304103066266,"4986/59345/2897/2898/2550/51764/113/148",8,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","9/215","168/7119",0.0535714285714286,1.77383720930233,1.79113547524902,0.067604657635452,0.689697492297457,0.678304103066266,"85414/4094/860/3248/3480/7113/3206/3486/171558",9,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","5/215","74/7119",0.0675675675675676,2.23727215587681,1.88794105657017,0.0722735982857848,0.689697492297457,0.678304103066266,"1496/29119/775/27092/284217",5,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","6/215","98/7119",0.0612244897959184,2.02724252491694,1.80690105481915,0.075446603067118,0.689697492297457,0.678304103066266,"129642/5320/8611/23175/5833/51365",6,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","3/215","33/7119",0.0909090909090909,3.01014799154334,2.04235982390925,0.0763926552159316,0.689697492297457,0.678304103066266,"5320/8611/80168",3,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","4/215","54/7119",0.0740740740740741,2.45271317829457,1.89089974600999,0.0793849907409384,0.689697492297457,0.678304103066266,"7367/8644/1645/1583",4,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","4/215","54/7119",0.0740740740740741,2.45271317829457,1.89089974600999,0.0793849907409384,0.689697492297457,0.678304103066266,"8611/6610/123099/64781",4,"KEGG","Enza_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","8/215","149/7119",0.0536912751677852,1.7778055252068,1.69315064139409,0.0812472492233328,0.689697492297457,0.678304103066266,"7855/657/25937/1496/8463/29119/85409/6591",8,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","3/215","34/7119",0.0882352941176471,2.92161422708618,1.98190834877506,0.0819996220161369,0.689697492297457,0.678304103066266,"80150/8659/2746",3,"KEGG","Enza_vs_Control_DHT"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","7/215","125/7119",0.056,1.8542511627907,1.7003001830729,0.0836100419428421,0.689697492297457,0.678304103066266,"6383/3108/5797/9073/22865/3105/6900",7,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","3/215","35/7119",0.0857142857142857,2.83813953488372,1.92362783341473,0.087778764640544,0.689697492297457,0.678304103066266,"6652/5208/51171",3,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","4/215","56/7119",0.0714285714285714,2.36511627906977,1.80974292086862,0.0881000446365365,0.689697492297457,0.678304103066266,"5320/3248/8644/242",4,"KEGG","Enza_vs_Control_DHT"
