"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"REACTOME_METABOLISM_OF_STEROIDS","REACTOME_METABOLISM_OF_STEROIDS","18/256","143/9617",0.125874125874126,4.72863854895105,7.42861243847781,4.04867792485135e-08,2.88670736041901e-05,2.74031569018886e-05,"6604/31/403313/2194/10682/1718/6319/3157/1717/3156/8647/8644/2222/3638/51171/1645/1583/9256",18,"Reactome","Enza_vs_Control_DHT"
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","9/256","36/9617",0.25,9.3916015625,8.34155029726289,2.92765636970998e-07,0.000104370949580161,9.90780550380798e-05,"60481/79993/31/2181/2194/2180/6319/79966/9200",9,"Reactome","Enza_vs_Control_DHT"
"REACTOME_CHOLESTEROL_BIOSYNTHESIS","REACTOME_CHOLESTEROL_BIOSYNTHESIS","7/256","27/9617",0.259259259259259,9.73943865740741,7.51990240461918,4.91139021573568e-06,0.000985888253909265,0.000935891558667834,"403313/10682/1718/3157/1717/3156/2222",7,"Reactome","Enza_vs_Control_DHT"
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS","REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS","10/256","63/9617",0.158730158730159,5.96292162698413,6.53538475361299,5.53092989570415e-06,0.000985888253909265,0.000935891558667834,"3915/27232/8671/85301/168620/1290/64714/3912/7852/284217",10,"Reactome","Enza_vs_Control_DHT"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","8/256","42/9617",0.19047619047619,7.15550595238095,6.6111208621792,1.21733795537403e-05,0.00151008636083102,0.00143350635567187,"6604/31/2194/6319/3157/1717/3156/2222",8,"Reactome","Enza_vs_Control_DHT"
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF","REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF","9/256","55/9617",0.163636363636364,6.14723011363636,6.33048008403039,1.27075991093774e-05,0.00151008636083102,0.00143350635567187,"6604/31/2194/6319/3157/1717/3156/2222/3638",9,"Reactome","Enza_vs_Control_DHT"
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES","REACTOME_DEVELOPMENTAL_CELL_LINEAGES","11/256","88/9617",0.125,4.69580078125,5.75946724738182,2.00385103771591e-05,0.00204106541413063,0.00193755822143057,"3915/27232/8671/85301/168620/9429/1290/64714/3912/7852/284217",11,"Reactome","Enza_vs_Control_DHT"
"REACTOME_FATTY_ACID_METABOLISM","REACTOME_FATTY_ACID_METABOLISM","14/256","164/9617",0.0853658536585366,3.20688833841463,4.71382594271039,0.000118059844628572,0.0105220836525215,0.00998848422318053,"60481/79993/31/2181/3248/2194/1622/2180/6319/8644/9415/79966/9200/242",14,"Reactome","Enza_vs_Control_DHT"
"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS","REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS","5/256","23/9617",0.217391304347826,8.16661005434783,5.69028374334968,0.000291879213932234,0.023123319948187,0.0219506824044943,"60481/79993/2181/2180/9200",5,"Reactome","Enza_vs_Control_DHT"
"REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS","REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS","6/256","39/9617",0.153846153846154,5.77944711538462,4.9457098614691,0.000523352753014672,0.0373150512899461,0.035422717914572,"3915/8671/85301/1290/3912/284217",6,"Reactome","Enza_vs_Control_DHT"
