"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",101,-0.908273911530835,-2.6169835479195,3.84336015794148e-22,1.92168007897074e-20,1.25414910417038e-20,927,"tags=61%, list=5%, signal=59%","25803/3685/3856/23171/658/1836/60559/87/3992/3422/9590/6722/5238/8821/23223/3998/354/3638/2683/2982/5867/10611/8916/25816/3156/9871/10397/3157/6319/9053/10788/1718/56172/2936/11057/65986/1622/79689/8611/445347/4824/220/11099/3248/2181/3817/563/7113/4094/56937/2289/9455/10257/55839/6414/6611/6675/7163/60481/22936/27347/6652","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",195,-0.75335304603941,-2.38913395794453,3.89842509854181e-14,9.74606274635453e-13,6.36058831867348e-13,1988,"tags=44%, list=11%, signal=39%","7037/10197/2632/516/10797/23165/5718/4836/4199/4860/10962/51569/226/1491/5606/10652/10963/899/4173/5693/5230/205/2821/993/10213/27346/2107/3313/47/7184/10061/3308/7296/23753/3099/928/3939/5861/6745/29110/6715/6509/80777/5641/6472/3992/7852/3417/7453/11333/51109/5701/7283/2542/1595/2023/8894/3422/6513/9695/2805/3638/9415/9136/30001/3156/6713/10452/51377/3157/8553/1717/6319/1718/2936/10682/6184/3949/6510/2181/31/6309/10096/60481/6652","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.664321302817128,-2.10675768208243,3.73287443828659e-08,6.22145739714432e-07,4.06031956445208e-07,4502,"tags=70%, list=24%, signal=54%","4288/5591/3838/1062/146909/9700/4001/79733/11113/3148/4830/57405/991/55635/10606/1033/81624/23047/1633/8493/7083/6119/4678/10733/9837/11004/147841/83461/6434/5347/672/29089/10635/1111/6241/3070/7112/4085/79075/10615/23468/84844/3015/9833/10248/29127/6426/9125/79019/3930/898/55143/11200/3609/4683/4605/6790/9212/23594/2547/10212/10714/10274/1163/84296/8914/3184/55723/5111/2146/7374/10528/4171/1434/6749/6118/7913/4176/4174/9972/6628/9918/4361/3978/3159/7037/4436/1786/6839/54962/10797/23165/4175/253714/8243/4172/10460/7884/64858/10492/5931/5981/1031/84312/29980/9319/55148/5424/9221/10549/4173/55646/10535/993/83463/5425/9183/5036/3014/64785/29028/27338/2935/5889/5426/23649/994/29893/6941/5558/5631/5982/204/9238/7283/203068/1965/4292/1503/3364/3835","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",68,-0.793089303884062,-2.17412177572377,1.28982079517517e-06,1.28982079517517e-05,8.41777782114318e-06,1390,"tags=41%, list=8%, signal=38%","6311/27346/22809/1119/493869/928/54206/39/5641/50814/4047/1595/6721/3422/9415/2222/2224/3156/6713/4598/3157/1717/6319/10682/2194/3949/5833/6309","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",180,-0.651879009754624,-2.04132083941572,1.17722021477211e-06,1.28982079517517e-05,8.41777782114318e-06,1088,"tags=23%, list=6%, signal=22%","81875/8614/4477/10514/23286/3856/10202/124583/6509/25800/2288/1836/7052/6478/10105/10560/26018/23541/25987/6513/23223/949/4681/8165/2683/2222/3875/3898/2444/23052/8553/1717/84187/23329/11057/9687/2194/3480/80004/2289/60481","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.622972707830938,-1.97562916074635,3.74345226255661e-06,3.11954355213051e-05,2.03591263402202e-05,4348,"tags=52%, list=24%, signal=41%","4830/991/220988/5683/10291/2091/6599/1973/6741/1537/7284/23435/6434/790/5250/890/22948/8318/7298/4085/26135/3015/6626/26354/5704/6426/2058/8761/11260/3735/7965/6632/2547/6059/10728/9868/6950/5634/3181/3184/10155/5687/5111/5245/3329/1665/10907/1478/6732/10528/4171/5713/56910/7913/1977/4176/4174/821/54107/5093/9188/3068/4175/10856/6240/10492/4953/10574/3837/9221/1017/10549/4173/5230/6634/5984/10213/10921/5425/3376/5036/2107/11137/7416/2935/7458/28973/3939/51491/5496/52/7332/2806/5714/8669/8894/1965/6627/1503/5709/5707/9136/8662/6723/5690","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",196,-0.608849133637883,-1.92891293476388,1.58345968019346e-05,0.000113104262870961,7.38154136631537e-05,4849,"tags=63%, list=26%, signal=47%","8454/3832/24137/332/10051/3192/983/1946/4288/3838/9585/1062/9700/22974/9184/4001/991/1033/81539/51203/6599/23047/7272/7468/9493/11065/4678/10733/11004/9156/6434/5347/25/890/8318/1111/10403/7112/5119/4085/9055/1950/8438/3015/8140/10721/3312/10592/29127/990/6426/8317/3930/3609/4605/26271/51659/6632/6790/3980/9212/23594/10926/10212/10274/1163/8819/5933/4211/3184/4691/2146/2176/4171/10293/6118/10762/30000/6541/11044/4957/4174/1841/3159/6839/4175/7290/8243/4172/3091/10460/85236/10432/10419/2130/10492/3619/4953/1031/6491/3837/9221/899/993/387893/262/1870/22809/3014/7371/4928/27338/2935/5426/23649/994/5976/1869/5558/5001/10036/3364/3835/6713","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",138,-0.63482851849247,-1.92898811497785,6.20723890629526e-05,0.000387952431643454,0.000253190008019938,1684,"tags=25%, list=9%, signal=23%","4199/4953/5160/23173/4128/226/5092/387893/1376/259307/26275/3939/2271/658/39/50814/3417/51109/3295/51170/34/3422/7358/126/2180/3157/9588/1718/2194/3248/51166/10455/6611/60481","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",111,-0.665333826785937,-1.95986768863572,8.11311115481313e-05,0.000450728397489618,0.000294159585730067,3426,"tags=47%, list=19%, signal=38%","811/27230/9775/11260/9114/8570/1163/9709/29968/4189/10528/7494/467/1977/1662/9797/25804/5073/10797/9451/7534/22872/8602/2081/9221/5393/6734/3376/3014/1978/3313/7184/9531/8614/10897/10130/6745/6509/10113/10525/60559/55062/1981/23517/5611/6897/1965/9695/58477/9136/30001/10954","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.748221333755803,-1.99490152238665,0.00012831763522747,0.000641588176137349,0.00041872070442648,2060,"tags=52%, list=11%, signal=46%","54663/92856/23481/51154/705/9064/79711/80324/4839/9221/4173/10199/27346/56342/5036/6573/6949/3099/10514/51491/83743/23082/81887/9238/2193/23223/3177/9136/6723/6652","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",169,-0.587742672386753,-1.8308208300084,0.000181924963858984,0.000826931653904471,0.000539681710969234,944,"tags=18%, list=5%, signal=18%","11187/2317/6491/56339/64065/10535/7517/2582/6768/928/3418/10202/6509/2288/1836/6478/10105/10551/7358/3613/949/4681/2222/2444/1717/11057/27075/2289/9455/60481/6652","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",93,-0.663220958903127,-1.9047916072253,0.000429542919580652,0.00178976216491938,0.0011680553076316,2064,"tags=30%, list=11%, signal=27%","27236/5862/6197/1213/9554/1956/10959/10067/22872/8773/10652/372/9183/164/476/2803/10972/3482/11079/9276/8729/375/1203/3998/3875/10059/9871/7163","Hallmark","Apalu_vs_Control_DHT"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",149,-0.570908001517328,-1.75131351382766,0.000561019350944673,0.00215776673440259,0.00140822671087327,1728,"tags=23%, list=9%, signal=21%","10075/23600/4860/4953/2983/7372/80324/4839/836/79026/7371/64866/2184/152007/896/3099/28996/3685/3482/7052/4641/51651/10970/26018/8835/3177/9144/10397/8553/4643/5583/8611/6510/3480","Hallmark","Apalu_vs_Control_DHT"
