"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS",43,-0.86683840727496,-2.19505357801181,2.27638734901424e-07,0.000152745591118855,0.000139458677592241,790,"tags=56%, list=4%, signal=54%","39/3992/50814/4047/1595/6721/3422/9415/2222/2224/3156/6713/4598/2180/3157/1717/6319/6646/1718/10682/2194/2181/6309/60481","WikiPathways","Apalu_vs_Control_DHT"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES",87,-0.747241642592379,-2.08449685864696,1.61685333537069e-06,0.000542454294016865,0.000495267705887231,814,"tags=28%, list=4%, signal=26%","6715/39/50814/1583/4047/1595/51170/3422/9415/5007/2222/2224/3156/4598/2180/3157/1717/6319/1718/10682/2181/403313/6309/60481","WikiPathways","Apalu_vs_Control_DHT"
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER",42,-0.848120866309937,-2.13870623235792,3.66461782627463e-06,0.000614739640357569,0.000561265151287324,1684,"tags=55%, list=9%, signal=50%","4199/5160/64841/2821/1431/47/3099/3939/1737/2806/8050/5238/6513/8501/3098/2805/2746/3156/6646/2194/3949/6510/6675","WikiPathways","Apalu_vs_Control_DHT"
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING",63,-0.780600411825651,-2.08546119887244,3.58133105749566e-06,0.000614739640357569,0.000561265151287324,1242,"tags=46%, list=7%, signal=43%","22872/3837/10483/47/22937/6396/10427/10802/4047/1595/9632/6721/3422/51128/949/3638/2475/2222/2224/3156/6713/9871/3157/6319/1622/23175/2194/3949/31","WikiPathways","Apalu_vs_Control_DHT"
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","WP_CHOLESTEROL_SYNTHESIS_DISORDERS",17,-0.936618116300371,-2.04249382278871,1.54388290687999e-05,0.00207189086103294,0.00189166284590348,547,"tags=76%, list=3%, signal=74%","4047/1595/3422/2222/2224/3156/6713/4598/3157/1717/1718/10682/6309","WikiPathways","Apalu_vs_Control_DHT"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY",15,-0.932015531063928,-1.98763873325323,2.64848587709649e-05,0.00253876289075964,0.00231792297815061,680,"tags=80%, list=4%, signal=77%","50814/4047/1595/3422/2222/2224/3156/6713/4598/3157/1717/6309","WikiPathways","Apalu_vs_Control_DHT"
"WP_MIRTARGETED_GENES_IN_LYMPHOCYTES","WP_MIRTARGETED_GENES_IN_LYMPHOCYTES",390,-0.515252725251,-1.71973098037399,2.54304654897085e-05,0.00253876289075964,0.00231792297815061,2207,"tags=26%, list=12%, signal=24%","3035/79813/7015/80155/84705/9513/9342/488/8797/23647/27236/140707/3159/440026/117145/84135/10797/9526/302/94081/1956/8243/8744/10959/56262/6856/4670/23378/5917/4734/4860/5557/79711/9319/5725/8773/387522/84823/64841/8763/372/51465/6386/5425/23291/81034/64866/5878/83440/9883/23589/6576/10061/8795/79751/7296/528/1465/11137/27338/5536/9019/1021/90441/10487/23649/10972/3482/160/1869/10802/3491/7170/6509/604/90522/23423/10105/60559/3992/5795/8943/91869/3417/80005/1595/5479/10036/58477/9415/10165/10611/51809/4643/54491/10280/378/79073/3915/85476/6675/60481","WikiPathways","Apalu_vs_Control_DHT"
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","WP_ENTEROCYTE_CHOLESTEROL_METABOLISM",30,-0.858958973656763,-2.05753202884492,3.53804994764987e-05,0.00296753939359133,0.00270940140727924,1042,"tags=63%, list=6%, signal=60%","10999/4245/39/50814/4047/1595/3422/51128/2222/2224/3156/6713/4598/3157/1717/1718/10682/3949/6309","WikiPathways","Apalu_vs_Control_DHT"
"WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES","WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES",309,-0.528758443179216,-1.72895855876379,4.35157627364424e-05,0.00324434186623921,0.00296212560381398,1167,"tags=17%, list=6%, signal=16%","1376/47/85377/5878/114879/3069/7416/7804/51293/1785/30844/113419/5861/160/39/50814/3295/8867/8310/54677/4047/1595/27349/10928/34/58513/3422/949/3638/2222/10059/2224/3156/4598/2180/3157/4864/1717/4643/6646/6836/1718/1622/10682/3949/2181/403313/7113/10455/58480/66036","WikiPathways","Apalu_vs_Control_DHT"
"WP_CHOLESTEROL_METABOLISM","WP_CHOLESTEROL_METABOLISM",50,-0.776676713815994,-1.99322097381776,0.000159473624567563,0.0102652863235714,0.00937233765835521,1337,"tags=48%, list=7%, signal=45%","10999/114879/4245/7416/39/50814/4047/1595/3422/51128/949/2222/2224/3156/6713/4598/3157/4864/1717/6646/1718/10682/3949/6309","WikiPathways","Apalu_vs_Control_DHT"
"WP_NGLYCAN_BIOSYNTHESIS","WP_NGLYCAN_BIOSYNTHESIS",54,-0.757653408963998,-1.96770980665036,0.000168283382353629,0.0102652863235714,0.00937233765835521,2357,"tags=48%, list=13%, signal=42%","22845/79087/8818/9526/8704/79053/2821/4247/57171/23193/4245/29925/1650/29926/91869/85365/1603/7991/56052/2683/3703/6185/10195/1798/6184/5373","WikiPathways","Apalu_vs_Control_DHT"
"WP_MIRTARGETED_GENES_IN_SQUAMOUS_CELL","WP_MIRTARGETED_GENES_IN_SQUAMOUS_CELL",119,-0.626447761843558,-1.84519623567988,0.000318629271735718,0.0178166867778889,0.0162668628201919,2300,"tags=29%, list=12%, signal=26%","2997/7057/488/27236/3159/302/10959/4670/5917/4734/4860/387522/372/51465/6386/5425/23291/9883/8795/7296/528/11137/9019/10972/160/7170/60559/8943/3417/58477/51809/10280/378/3915/60481","WikiPathways","Apalu_vs_Control_DHT"
"WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER","WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER",40,-0.788512065715686,-1.96871102197946,0.000360406978154303,0.0186025447955028,0.0169843612377169,1591,"tags=70%, list=9%, signal=64%","3419/6888/8801/50/5211/29968/2618/2597/1743/5160/5230/2821/47/3939/2271/3418/5223/6472/2806/9123/5226/2023/7086/6513/5831/2746/2194/6510","WikiPathways","Apalu_vs_Control_DHT"
"WP_MIRTARGETED_GENES_IN_ADIPOCYTES","WP_MIRTARGETED_GENES_IN_ADIPOCYTES",15,-0.896857665432102,-1.91266022358338,0.000680372077159448,0.0326092616981421,0.0297726728501352,1047,"tags=40%, list=6%, signal=38%","1465/10487/10972/3482/3992/60481","WikiPathways","Apalu_vs_Control_DHT"
"WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS","WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS",15,-0.891749287988178,-1.9017659750079,0.00095465109025826,0.0401713806601333,0.0366769841465175,685,"tags=40%, list=4%, signal=39%","3992/8310/9415/2180/2181/60481","WikiPathways","Apalu_vs_Control_DHT"
