"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",101,-0.909613852266849,-2.6473783400213,2.55008241149133e-23,1.27504120574567e-21,8.32132155328751e-22,812,"tags=61%, list=4%, signal=59%","1836/55768/3992/10627/23171/3685/9590/23223/8821/354/2982/60559/10611/2683/567/25803/3998/3638/8916/4824/3156/56172/25816/5238/65986/9871/3856/6319/5867/2936/1718/3422/9053/11057/3817/10788/3157/10397/56937/8611/220/445347/7113/2181/11099/1622/79689/4094/3248/563/2289/55839/9455/10257/6414/6675/6611/60481/27347/22936/7163/6652","Hallmark","Bica_vs_Control_DHT"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",195,-0.737373984774096,-2.33279814028048,9.7464037733483e-13,2.43660094333708e-11,1.59020272091472e-11,2510,"tags=48%, list=14%, signal=42%","7037/2286/5606/2745/8624/27346/56902/5706/8615/5211/2107/1491/9521/4793/205/4860/10963/3099/993/10061/7184/47/5718/6472/5693/516/2542/51109/10652/7296/4199/3313/5033/5719/81873/6715/5230/6509/5684/27230/80777/10135/226/3939/51382/10213/51569/134429/6745/3992/7283/7453/1595/2023/3308/928/29110/5861/23753/6513/11333/5701/8894/9695/10452/2805/3638/5641/3156/9136/7852/3417/8553/9415/6713/1717/6319/2936/1718/3422/30001/51377/3157/6510/31/3949/6184/10682/2181/10096/6309/60481/6652","Hallmark","Bica_vs_Control_DHT"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",68,-0.789007364115127,-2.20261265803478,1.51287431619144e-06,2.5214571936524e-05,1.64558258954156e-05,1135,"tags=40%, list=6%, signal=37%","10654/4597/134429/1595/39/928/6721/54206/1119/4047/5641/3156/2222/50814/9415/6713/1717/6319/3422/2224/4598/3157/3949/10682/2194/5833/6309","Hallmark","Bica_vs_Control_DHT"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",138,-0.653265438315993,-1.98387179947789,1.63696946101576e-05,0.00020462118262697,0.000133542245503918,1910,"tags=30%, list=10%, signal=27%","1738/23173/4953/92840/8801/259307/387893/51109/1376/4199/8639/23417/5160/2639/58505/658/226/3939/5092/1632/2271/39/3295/7358/26275/126/51170/50814/3417/34/1718/3422/2180/3157/9588/2194/51166/3248/10455/6611/60481","Hallmark","Bica_vs_Control_DHT"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.750115799692498,-2.02166971741516,0.000102588667624744,0.000854905563539531,0.000557938367783694,2889,"tags=55%, list=16%, signal=47%","51154/7965/4173/4839/79711/9221/6949/27346/79050/54663/92856/5245/23481/3099/5036/10514/23082/83743/9064/56342/80324/9238/10199/51491/6573/81887/2193/23223/9136/3177/6723/6652","Hallmark","Bica_vs_Control_DHT"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.583823171478474,-1.84560019948273,8.68638714060952e-05,0.000854905563539531,0.000557938367783694,4561,"tags=47%, list=25%, signal=36%","26121/7284/10155/4830/1478/4176/3735/4706/4171/6059/5111/23435/6626/5250/26354/6426/6741/9868/54107/23016/56910/3329/4174/10528/5093/9188/10921/5704/5688/7307/10728/6434/3181/2547/821/1977/6950/5984/6732/7324/3184/5634/4175/7965/1665/6150/6240/4173/6742/5425/10492/1017/6632/9221/3837/5683/5706/5713/2107/3376/5245/10574/4953/5036/28973/10549/10907/10856/7458/6634/7416/11137/2935/5230/3939/5687/51491/5496/10213/1503/2806/1965/8669/7332/5707/5714/8662/8894/5709/52/9136/6723/6627/5690","Hallmark","Bica_vs_Control_DHT"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",111,-0.65597007003128,-1.95016348778487,0.00014751696427965,0.0010536926019975,0.000687673066566788,3011,"tags=39%, list=16%, signal=33%","1662/4189/7494/9114/54512/8602/9221/2081/3376/22872/10775/7534/9709/7184/3014/5393/467/10525/6734/3313/10113/25804/9451/6509/27230/10130/1978/9531/1981/11015/6745/10897/1965/23517/60559/6897/5611/55062/9695/9136/30001/58477/10954","Hallmark","Bica_vs_Control_DHT"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.56540800880164,-1.78738560717081,0.000240087967839712,0.0015005497989982,0.000979306184609353,6136,"tags=70%, list=33%, signal=47%","1033/3161/5902/146909/3609/23468/4288/7083/1164/3838/79733/983/10051/6427/10635/5347/5983/83461/1633/147841/4085/9833/7112/10615/9125/29127/10274/6119/7374/10606/6749/4999/3930/6790/3070/8914/55143/11340/79019/6241/3015/79077/4605/672/55723/4683/8726/7913/197335/79075/9212/23047/4830/4176/4678/23594/11200/4171/2146/9972/9918/5111/8243/1434/84296/6426/29089/51155/10797/1111/10714/4174/10212/10528/1163/6434/2547/55148/1786/10248/55646/3978/84312/3184/54962/4175/253714/9183/4361/84844/898/4172/23165/10460/4173/9319/5425/10492/64858/10535/7037/1031/9221/6628/6118/6941/5981/994/5426/64785/6839/5424/993/4436/5036/10549/7884/3014/29980/5931/29028/23649/27338/2935/5558/83463/5889/203068/9238/29893/5631/5982/1503/7283/1965/3835/204/3364/4292","Hallmark","Bica_vs_Control_DHT"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",169,-0.568858123012537,-1.76174533580992,0.000304101886920877,0.00168945492733821,0.00110259163678915,1319,"tags=17%, list=7%, signal=16%","6768/6509/7164/3418/10105/26509/11187/2582/1836/10202/8309/1152/928/7517/7358/3613/10551/2444/949/2222/1717/11057/4681/27075/2289/9455/60481/6652","Hallmark","Bica_vs_Control_DHT"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",93,-0.648920130831795,-1.87088242824168,0.000467734717240326,0.00233867358620163,0.00152629223520527,2260,"tags=31%, list=12%, signal=27%","8615/11316/22872/27236/10959/664/372/10067/10652/1211/3482/476/2803/9554/5862/164/10972/1175/8729/375/9276/11079/8773/1203/3998/10059/9871/3875/7163","Hallmark","Bica_vs_Control_DHT"
