"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER",42,-0.834700925638794,-2.1752851704162,7.35144945215893e-06,0.00157568776428673,0.00143615121350787,2259,"tags=60%, list=12%, signal=52%","1431/9122/5211/3099/1738/47/1737/4199/64841/5160/3939/2806/8050/6513/2805/8501/3156/3098/2746/5238/6646/6510/3949/2194/6675","WikiPathways","Bica_vs_Control_DHT"
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS",43,-0.834516649273944,-2.1668578756407,7.1513807696879e-06,0.00157568776428673,0.00143615121350787,1135,"tags=63%, list=6%, signal=59%","10654/54898/4597/3992/1595/39/6721/4047/3156/2222/50814/9415/6713/1717/6319/1718/3422/2224/4598/6646/2180/3157/10682/2194/2181/6309/60481","WikiPathways","Bica_vs_Control_DHT"
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING",63,-0.774170459649819,-2.1331331205927,1.0027672672249e-05,0.00157568776428673,0.00143615121350787,1460,"tags=46%, list=8%, signal=43%","47/10483/56681/10802/10427/22937/4597/9632/1595/6721/6396/4047/2475/3638/949/3156/2222/6713/9871/6319/3422/51128/2224/3157/31/3949/2194/23175/1622","WikiPathways","Bica_vs_Control_DHT"
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","WP_ENTEROCYTE_CHOLESTEROL_METABOLISM",30,-0.869669114236282,-2.10776582902785,1.17413395252365e-05,0.00157568776428673,0.00143615121350787,1135,"tags=67%, list=6%, signal=63%","10654/4245/4597/1595/39/4047/3156/2222/50814/6713/1717/1718/3422/51128/2224/4598/3157/3949/10682/6309","WikiPathways","Bica_vs_Control_DHT"
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","WP_CHOLESTEROL_SYNTHESIS_DISORDERS",17,-0.92528552617982,-2.01557964768097,6.87845839801981e-06,0.00157568776428673,0.00143615121350787,1135,"tags=88%, list=6%, signal=83%","10654/4597/1595/4047/3156/2222/6713/1717/1718/3422/2224/4598/3157/10682/6309","WikiPathways","Bica_vs_Control_DHT"
"WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES","WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES",309,-0.531587074253348,-1.75268967396944,1.74752222473244e-05,0.00195431235465911,0.00178124633784131,2030,"tags=24%, list=11%, signal=21%","23237/351/10938/23301/54874/319/29924/5825/9322/47/113419/7804/51599/2017/5878/1376/1211/203228/3069/7416/375056/11252/10654/30844/1632/4597/114879/79135/160/1785/1175/51293/55829/54677/10928/8309/1595/39/27349/3295/5861/8867/4047/8310/58513/115677/3638/949/3156/2222/50814/10059/34/4643/1717/4864/1718/3422/2224/6836/4598/6646/2180/3157/403313/3949/10682/58480/7113/2181/1622/10455/66036","WikiPathways","Bica_vs_Control_DHT"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY",15,-0.927940220334435,-1.98494427195122,2.69788674408831e-05,0.00258611715040465,0.00235710105009821,1135,"tags=93%, list=6%, signal=88%","10654/4597/1595/4047/3156/2222/50814/6713/1717/3422/2224/4598/3157/6309","WikiPathways","Bica_vs_Control_DHT"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES",87,-0.7043500686106,-2.04460102301611,4.08388468947514e-05,0.00342535828329727,0.00312202237445402,1301,"tags=34%, list=7%, signal=32%","6715/11161/1583/10654/54898/4597/114881/23600/1595/39/4047/5007/3156/51170/2222/50814/9415/1717/6319/1718/3422/2224/4598/2180/3157/403313/10682/2181/6309/60481","WikiPathways","Bica_vs_Control_DHT"
"WP_MIRTARGETED_GENES_IN_LYMPHOCYTES","WP_MIRTARGETED_GENES_IN_LYMPHOCYTES",390,-0.476522166201083,-1.60354816176169,0.00017864515732374,0.013318988951581,0.0121395130298354,2154,"tags=22%, list=12%, signal=19%","10857/23647/9526/23378/4860/27236/29901/10959/81034/10061/9351/4734/302/5536/8795/84135/372/8801/9904/57552/1869/83451/5878/604/7296/3482/10802/84191/23649/27338/64841/79922/11137/6509/27230/84705/1021/8744/117145/7170/79751/8763/8636/10105/6386/9019/440026/5917/10972/160/10487/3992/1595/6576/8943/83440/528/23589/90441/80005/1465/60559/51809/10036/8773/23423/3491/90522/10611/91869/10165/10280/5479/3417/9415/4643/58477/79073/54491/378/3915/85476/6675/60481","WikiPathways","Bica_vs_Control_DHT"
"WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER","WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER",40,-0.788758001934269,-2.02405720083217,0.00021774102096919,0.0146104225070326,0.0133165824403262,2195,"tags=52%, list=12%, signal=46%","5211/6888/47/8801/6472/5160/5226/5230/3418/3939/7086/2271/2806/2023/5223/5831/6513/2746/9123/6510/2194","WikiPathways","Bica_vs_Control_DHT"
