"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",101,0.82108224402217,2.95078015377123,4.01967647975413e-22,2.00983823987706e-20,1.18474675192753e-20,2299,"tags=57%, list=9%, signal=52%","3817/22936/354/4824/27347/56937/6675/6652/60481/8611/563/8821/9590/9455/445347/2982/56172/10257/55839/7113/5867/65986/2936/1718/10611/2289/6414/55768/220/25816/658/51465/11057/23171/8916/3005/7163/3156/4189/2005/2181/5238/6611/9871/4094/9218/8848/8555/2773/2683/1622/3998/57178/6197/3638/10645/3880/1836","Hallmark","Bica_vs_Control_noDHT"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,0.541114037318034,2.13566323744814,3.52390786443236e-08,8.8097696610809e-07,5.19312737916348e-07,7301,"tags=54%, list=30%, signal=38%","1503/5690/2739/1965/11260/3015/7555/8894/3251/26354/7324/1017/5687/6634/2935/7913/10907/5714/5707/10213/4673/3336/10549/1977/5713/8669/5984/3376/7332/6742/51020/5706/6632/10921/8662/1964/2058/5111/56910/6732/3735/2079/2107/57819/5425/7419/6741/6637/9184/5683/5036/10236/9221/4173/6240/7398/10728/7027/10054/3837/6059/2091/4830/821/11137/1854/6175/3326/3329/4175/5709/9136/28973/5685/8318/4085/3068/52/10528/5688/8761/4176/10399/10574/890/7416/6950/6146/26986/5901/65005/10492/7298/22948/2547/9868/4174/6164/11335/26135/9377/3615/9188/10146/54107/6418/7514/2806","Hallmark","Bica_vs_Control_noDHT"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",199,0.540174224386665,2.12908770617685,9.85344260615448e-08,1.64224043435908e-06,9.68057519201142e-07,4287,"tags=38%, list=18%, signal=32%","6652/60481/10096/6510/51109/8553/23657/31/116496/120/2936/1718/51377/4783/27230/10682/3099/5352/8894/3313/10797/3156/3251/7296/6472/10962/2181/7494/5693/7453/5701/7852/441024/3638/6184/7184/29968/4199/56902/57761/6745/928/2542/811/10213/27346/3157/7283/6319/9521/3336/5052/8624/2965/26136/5861/30001/6509/2023/440/900/1595/2717/5706/51569/488/23478/6715/3422/2058/51382/112399/10652/6309/2107/1491","Hallmark","Bica_vs_Control_noDHT"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.520763263361824,2.0553430151022,2.43291245767098e-07,3.04114057208872e-06,1.79267233723125e-06,9528,"tags=79%, list=39%, signal=48%","1503/1965/1027/3835/3015/994/5889/56655/3364/10797/3159/5558/6941/5982/2935/7913/6839/84312/4683/5631/4673/10535/1163/7283/29893/10549/27338/11340/1031/203068/79075/6119/29028/5111/6118/23649/55646/5425/10664/64785/580/83463/5036/55143/7884/8726/9221/4173/253714/4172/7398/1434/5810/1633/57405/9183/4605/55723/23165/10635/4830/9212/64858/1854/6749/1033/993/7374/4175/9232/5983/3148/29980/3930/9837/5511/4085/146909/84296/10528/4176/5931/3978/5885/6241/55148/79733/24137/701/6790/5901/29127/10615/10492/9833/10460/83461/2547/9319/4174/5347/4361/3014/11004/9972/9918/7514/332/55635/23047/9700/9126/7112/1062/79019/2146/10527/991/4436/672/81611/10212/4001/11113/10733/4171/147841/5424/81624/9787/3161/1111/983/10051/4288/51155/9133/7037/9125/1164/7153/23594/4609/3070/10274/1019/7083/8243/3925/6117/10111/6628/5902/7157/11051/10248/9738/3838","Hallmark","Bica_vs_Control_noDHT"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,0.5280551674244,1.92067749612591,0.000163667128184296,0.00163667128184296,0.000964774650349536,7115,"tags=53%, list=29%, signal=38%","10954/79094/1054/1965/8614/11260/27230/58477/468/3313/10797/4189/9775/23517/7494/5394/3484/467/7534/7184/29968/6745/6897/811/1163/1978/1977/22926/3376/30001/6509/440/9709/8815/23478/7422/55033/10130/4801/1051/9221/57472/6347/9531/9695/9136/56915/55153/10525/5073/9797/10528/8602/6464/55802/5832/50628/3309/3014/8140","Hallmark","Bica_vs_Control_noDHT"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",198,0.4370869833026,1.72250402993113,0.000235880464321745,0.00196567053601454,0.00115871105280857,9245,"tags=65%, list=38%, signal=41%","262/22809/9462/1027/3835/3015/994/8819/5001/4212/3364/1946/3159/5558/8451/1950/2935/6839/387893/1163/1869/6541/27338/1031/6632/4502/7272/6118/10762/81539/23649/10664/9184/580/9221/4172/7027/4605/8438/3837/9212/1033/1810/993/4175/9232/4751/4928/11104/10721/3930/51659/8318/10419/4085/94239/890/51203/11065/5885/10432/10926/24137/6790/1058/29127/10492/10460/3832/4174/10592/5347/8317/3014/11004/9055/55872/10146/8140/22974/5933/7514/332/990/7486/23047/9700/9493/7112/5371/1062/4082/2146/10024/991/3151/10403/56992/10212/4001/10733/4171/3312/3161/57082/9156/699/1111/1432/983/8065/10051/4288/51155/9133/7468/1063/1164/6491/7153/23594/30000/4609/25/10274/1019/4691/8243/3925","Hallmark","Bica_vs_Control_noDHT"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",149,0.48071597356949,1.844208558033,0.000279426929745743,0.00199590664104102,0.00117653444103471,3378,"tags=23%, list=14%, signal=20%","51166/60481/51109/9588/218/33/126/1718/3015/84693/10455/658/224/7358/11185/23173/6611/549/5465/3295/4128/1738/2820/4199/51170/4683/387893/760/3248/3157/223/58505/4190/39","Hallmark","Bica_vs_Control_noDHT"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",181,0.418222993917284,1.64847765649377,0.000913457387089538,0.00570910866930962,0.0033653693208562,3456,"tags=25%, list=14%, signal=22%","6510/8611/8553/4643/3627/10924/8835/7133/7052/3480/26018/4783/5621/3099/2983/22822/58528/3976/462/177/254013/7494/28996/2623/2118/3587/51651/10970/126669/7074/79971/1316/8829/1690/10888/6095/760/214/7850/22807/5167/84306/5727/57157/307/3655","Hallmark","Bica_vs_Control_noDHT"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",183,0.430513540372717,1.69853271711987,0.00108902351861125,0.00605013065895139,0.00356639280948714,2911,"tags=23%, list=12%, signal=20%","60481/54677/6510/5226/64087/384/51128/218/126/2936/27232/10611/3479/22949/383/7358/6580/10857/3251/6472/6898/2114/3162/116285/957/1571/3484/6747/4128/9536/5340/116842/1528/10717/51635/55502/5831/1646/760/27346/9663/223","Hallmark","Bica_vs_Control_noDHT"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",181,0.390965944613692,1.5410406255021,0.00304863767317562,0.0152431883658781,0.00898545840514919,2419,"tags=18%, list=10%, signal=17%","56937/8613/8553/5734/3627/9120/65986/8767/604/10611/25816/8744/4783/6373/10209/3624/10010/22822/2152/3976/4780/182/2114/4792/8848/8660/2683/467/5329/10950/127544/1316/694","Hallmark","Bica_vs_Control_noDHT"
