"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",101,-0.908763138790731,-2.62792513608877,1.03020888042129e-22,5.15104440210645e-21,3.14484816128604e-21,670,"tags=59%, list=4%, signal=58%","3685/3856/6722/3992/1836/87/60559/8821/9590/5238/23223/23171/2982/2683/3998/354/5867/9871/25816/3422/3638/10611/8916/3156/10397/56172/9053/10788/4824/3157/6319/65986/1718/2936/79689/11057/220/445347/3817/1622/7113/11099/8611/3248/56937/2181/563/4094/9455/2289/55839/10257/6414/6611/6675/60481/7163/27347/22936/6652","Hallmark","Enza_vs_Control_DHT"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",195,-0.762278224428736,-2.40819036867941,1.06536271585856e-14,2.6634067896464e-13,1.62607993473149e-13,2026,"tags=45%, list=11%, signal=40%","4199/8615/23753/488/5693/1719/10652/908/2632/51382/7037/226/10197/4860/10963/23165/899/51569/7296/3313/1491/993/6509/4173/5718/27346/134429/5606/205/3099/7184/47/5230/10213/6472/51109/2107/10061/2821/3939/6745/6715/7453/5641/928/3417/7283/3992/5701/2542/11333/5861/29110/3308/6513/7852/80777/8894/1595/2805/2023/9136/9695/9415/3422/3638/10452/8553/30001/3156/6713/1717/51377/6510/3157/6319/1718/2936/10682/6184/2181/3949/31/6309/10096/60481/6652","Hallmark","Enza_vs_Control_DHT"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.662126695493108,-2.10622706831092,1.29428723278117e-07,2.15714538796862e-06,1.31699402633874e-06,4725,"tags=72%, list=26%, signal=54%","24137/4001/991/701/8493/9126/983/9700/4288/3148/10635/10051/7083/1033/11004/79733/81624/1062/3838/55635/147841/11113/57405/9125/4678/7398/10733/5347/4085/146909/9837/83461/1633/79019/6241/10606/10212/3070/7112/9833/23047/5591/672/2146/29089/23594/10615/23468/84844/9212/29127/1111/79075/3930/6790/84296/4605/7374/4683/55723/10797/55143/3609/10714/11200/6434/5111/6426/1163/6628/6749/8914/6118/10528/10274/4171/3159/4176/4174/3978/1434/7913/2547/898/9918/54962/253714/1786/5931/7884/3184/55646/10535/3015/10460/4361/4175/29980/9972/7037/9183/9319/4172/8243/1031/6839/83463/5424/23165/10549/9221/5425/64858/993/84312/5426/4173/64785/55148/3014/994/5889/4436/5981/10492/23649/27338/5036/6941/29028/5558/29893/9238/2935/7283/5631/204/5982/3835/203068/1965/1503/3364/4292","Hallmark","Enza_vs_Control_DHT"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.643019504673043,-2.04544703515634,6.89824181507857e-07,8.62280226884822e-06,5.26444770098102e-06,4313,"tags=56%, list=23%, signal=43%","2091/9184/23196/3838/6742/10236/5683/7398/4085/1973/10291/8318/5704/890/7324/26354/8454/3192/5887/7965/6599/26135/2739/3326/5706/22948/220988/7298/5250/2058/10155/6626/6434/5111/6426/1478/8761/10528/10907/4171/5245/6632/3329/4176/6741/3735/4174/10728/5634/6059/54107/9868/7913/821/6950/3181/2547/23435/5093/5687/28973/1977/1665/5713/56910/9188/3068/6732/3184/3015/4175/3376/10856/6240/4953/1017/5984/10549/9221/5425/4173/3837/10492/10921/10574/5036/5230/10213/2107/5714/51491/3939/6634/7458/2935/11137/52/7416/5496/2806/8669/7332/8894/9136/6627/1965/1503/5709/5707/6723/8662/5690","Hallmark","Enza_vs_Control_DHT"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",68,-0.798258207277518,-2.19091719097673,1.10507635236652e-06,1.10507635236652e-05,6.74678194076404e-06,800,"tags=34%, list=4%, signal=32%","54206/5641/39/928/4047/1595/6721/50814/9415/2224/3422/2222/4598/3156/6713/1717/3157/6319/10682/5833/2194/3949/6309","Hallmark","Enza_vs_Control_DHT"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",180,-0.638585576554124,-2.00075190138111,4.57462983655118e-06,3.81219153045932e-05,2.32744325017516e-05,1175,"tags=21%, list=6%, signal=20%","81875/6478/25800/10514/26018/23286/3856/10105/25987/2288/10202/124583/1836/6513/10560/23541/7052/4681/23223/8165/949/2683/2222/8553/3898/3875/2444/23052/1717/84187/9687/23329/11057/2194/3480/80004/2289/60481","Hallmark","Enza_vs_Control_DHT"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",196,-0.63043762829131,-1.99442617615375,6.15926012179941e-06,4.39947151557101e-05,2.6859931358223e-05,4748,"tags=65%, list=26%, signal=49%","6760/24137/4001/991/56992/81539/7468/3832/9585/983/9700/4288/25/7272/22974/996/10051/51203/11065/1033/11004/9184/1062/3838/7150/8140/4678/10733/1736/5347/1950/4085/9493/8318/10403/890/8454/3192/9156/5119/10212/5887/7112/23047/9055/2146/23594/6599/990/9212/29127/1111/3930/10926/6790/4605/10592/5933/8438/10721/51659/26271/3312/1841/3609/6434/6426/6541/1163/8819/3980/6118/8317/2176/10274/4171/6632/3159/4174/10293/4691/22809/4957/10432/10762/30000/7290/11044/3184/10419/3015/1870/10460/4211/4175/85236/3619/4953/4172/8243/1031/6839/899/9221/387893/993/5426/3014/7371/994/6491/3837/10492/3091/2130/4928/23649/27338/5976/1869/5558/2935/262/5001/3835/10036/3364/6713","Hallmark","Enza_vs_Control_DHT"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",138,-0.652581289446752,-1.97538847441429,1.67025263881973e-05,0.000104390789926233,6.37333243760161e-05,1494,"tags=25%, list=8%, signal=23%","5092/5160/4128/1738/387893/23173/8801/1374/259307/26275/658/51109/1376/3939/39/3417/2271/51170/7358/50814/3295/126/34/3422/3157/2180/9588/1718/2194/10455/3248/51166/6611/60481","Hallmark","Enza_vs_Control_DHT"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",169,-0.602047453855001,-1.8713472416717,0.000113963523695145,0.000633130687195249,0.000386542945866573,1361,"tags=16%, list=7%, signal=15%","2317/6509/7517/6491/6478/6768/64065/928/10105/2288/3418/3613/10202/1836/10551/4681/7358/949/2222/2444/1717/11057/27075/9455/2289/60481/6652","Hallmark","Enza_vs_Control_DHT"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",93,-0.675117239245409,-1.90213514886225,0.000127887039136102,0.000639435195680512,0.000390392014204944,2252,"tags=35%, list=12%, signal=31%","6197/10067/8615/1175/9341/102/10652/1956/51552/10959/9183/9554/22872/1213/27236/372/476/5862/8773/2803/11079/10972/3482/164/9276/375/8729/1203/3998/9871/3875/10059/7163","Hallmark","Enza_vs_Control_DHT"
