"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.599463857820567,-2.75589396122458,5.12715858482775e-23,2.56357929241388e-21,1.61910271099824e-21,6760,"tags=69%, list=28%, signal=50%","4171/6626/4609/7913/1964/6240/3838/23196/10146/10054/4176/7398/7458/1537/9221/6732/7419/4869/6427/1478/10236/6128/5245/26135/6599/5425/54107/8664/5902/10971/6434/5687/6418/3615/6950/5713/1982/23016/5682/5691/4686/3837/4706/7965/3178/1019/9377/51491/4999/4173/6426/4175/6428/5688/1965/1665/26986/2547/23450/3192/10921/3183/5634/3015/5690/10728/1977/3068/9868/9188/6187/328/10213/3336/5683/6432/4830/3181/6146/26156/5685/2935/708/8662/8886/10492/5709/6741/3608/3939/5887/6059/22948/10935/1176/3184/7307/11335/5901/7027/6632/3066/220988/2107/2806/9136/2739/22916/5036/3735/1973/8669/1207/5250/23435/7203/10575/3326/6723/5478/7411/10907/7416/11137/5704/52/2079/5496/6742/5707/6627/10576/10574/7531/5230/6629/7332/6634","Hallmark","Enza_vs_Control_noDHT"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.523620932476067,-2.40722396680921,3.02877858667867e-15,7.57194646669668e-14,4.78228197896632e-14,8212,"tags=71%, list=34%, signal=47%","55723/29980/3609/3161/7037/10051/83461/9133/29127/4001/57122/146909/147841/9319/3930/23594/7083/5558/4085/6749/11004/55148/55143/9837/10528/4174/7112/675/6790/10615/79677/6117/23047/1033/3835/57405/4288/6241/9738/983/9183/7153/4171/24137/5931/11200/7157/4609/1062/6941/672/5885/7913/6118/55635/3838/9972/1164/4176/7398/4678/9787/1633/9221/23468/10527/9833/6427/23165/9238/5425/64858/84312/5631/993/5902/9918/6434/3070/253714/11051/8914/3159/1434/1019/7374/23649/29028/79075/5591/4999/81624/4173/6426/4175/4683/1786/1965/56655/2547/3149/9126/5511/580/6119/3015/27338/8243/10733/6628/5411/29089/10606/4830/64785/3364/4172/1111/10535/2935/25842/10492/10714/204/3184/5901/11168/7884/4361/55646/51155/5981/5036/84844/5395/8493/54556/54962/79077/898/203068/4292","Hallmark","Enza_vs_Control_noDHT"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,-0.479467495886373,-2.20338655744408,1.16125450999624e-11,1.93542418332707e-10,1.22237316841709e-10,7981,"tags=55%, list=33%, signal=37%","527/23203/56993/27089/3028/26519/4695/10975/1737/9296/1892/26521/211/10939/11331/6392/22/4709/55288/1349/10128/26520/5160/374291/514/51318/1537/10440/539/1355/7419/518/10989/10476/4190/54704/6390/8050/4976/7381/517/1340/528/1743/4942/8802/292/4706/2821/4698/9377/1431/7384/4191/81689/38/513/9868/54205/1352/29088/593/1891/4711/5018/51606/56945/4719/3419/4702/6183/3939/10935/8803/3945/2806/522/2109/7385/5250/498/515/4729/1666/4552/9131/7417/1353/7416/3418/7386/509/8402/6391/5162/2230/1738/506/2395/3030/2108/2110/4718/4720/80273/2271/788/481/1374","Hallmark","Enza_vs_Control_noDHT"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",196,0.428666881854261,1.75600525961803,1.10134664059767e-05,0.000137668330074709,8.69484189945529e-05,4356,"tags=26%, list=18%, signal=22%","3162/23657/57761/467/3976/1649/1030/1647/1263/64782/6520/79651/127544/7508/2040/51278/7378/29948/2353/23645/1643/10437/581/26471/9314/5429/4013/49856/64061/2258/3691/55602/834/4071/2052/23479/9635/10057/6303/23612/64065/650/1026/2877/6890/3275/5564/54541/26355/7164/6275","Hallmark","Enza_vs_Control_noDHT"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.52404147688703,-1.95769891235731,7.29746935759466e-05,0.000729746935759466,0.000460892801532294,8296,"tags=78%, list=34%, signal=51%","92856/79050/23481/27346/56915/10528/4174/6573/56342/6949/51388/3329/10196/4609/51154/79711/27340/9221/4869/5245/9238/4839/705/7965/1019/7374/23160/51491/4173/2193/10733/81887/3336/10244/8886/11335/64216/9136/5036/83743/6723/10171/79077/10199/29078","Hallmark","Enza_vs_Control_noDHT"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",191,0.407401996930953,1.66084571950085,9.8674771276796e-05,0.000822289760639967,0.000519340901456821,4379,"tags=31%, list=18%, signal=26%","3162/9590/467/7422/8553/8614/302/2908/2152/1649/4502/229/6095/633/4015/8609/771/5578/7043/5317/2026/7052/2353/58528/23645/10891/55139/54206/3486/6513/1027/8497/5292/5155/8660/1942/2113/10994/9957/3219/2239/1028/3099/30001/596/2817/2027/8974/1026/5236/23327/54541/23764/7538/26355/4783/3484/6275/1907","Hallmark","Enza_vs_Control_noDHT"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",181,0.41424327256894,1.68165514892212,0.000148029468801188,0.00105735334857992,0.000667802114892578,4863,"tags=34%, list=20%, signal=28%","467/7422/8553/8613/3976/2152/2669/1647/3624/3280/1435/56937/3164/604/8878/127544/1051/150094/1958/51278/7185/2353/23645/3659/3627/3398/9314/10010/23308/1847/1844/24147/182/10950/8660/1942/10209/1326/1906/5142/11080/6303/5187/650/1960/1026/3606/6890/23764/7538/8942/9021/8061/4783/2683/5271/79155/1846/2355/57018/22822/374","Hallmark","Enza_vs_Control_noDHT"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",198,-0.342960394032278,-1.57622727052227,0.000203980708794313,0.00127487942996446,0.000805187008398605,8121,"tags=65%, list=33%, signal=43%","3609/3161/8454/10051/9994/10419/9133/29127/4001/55872/30000/9156/3930/23594/5558/4085/4853/11004/4174/7112/7468/8318/3619/57082/675/6790/6558/10721/890/23047/11065/6760/1033/4953/3835/10592/9585/4288/51203/9055/983/22974/7153/7371/4171/24137/2176/5926/4609/1062/4082/9493/5885/6118/699/990/3838/10146/1164/4678/10772/9221/7090/6427/1810/10403/10432/6599/8317/56992/10951/993/7290/6434/9252/1869/899/10036/3837/3159/1019/23649/5001/6426/5813/4175/3149/3192/3799/580/3015/27338/8243/6421/10733/22823/85236/3091/51776/94239/7150/546/5048/10293/4691/904/3364/4172/8065/1111/2935/10492/1871/5887/3184/7027/26271/6632/996/595/51155/1736/1112/2130/3312/6713/262/1870","Hallmark","Enza_vs_Control_noDHT"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",181,0.368979361191651,1.4979025217378,0.00339123940660211,0.0169561970330106,0.0107091770734804,3769,"tags=24%, list=16%, signal=21%","6510/8553/3976/7133/6095/55509/84525/9249/1435/64332/3587/7494/7052/7185/58528/3627/8530/1893/5359/26018/3596/825/5292/7074/177/3664/4582/1326/10924/64375/1028/3099/5745/81848/3563/596/126669/2012/7293/2983/27242/2027/650/7850","Hallmark","Enza_vs_Control_noDHT"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",171,0.368014164310997,1.48024700282438,0.00337365922040748,0.0169561970330106,0.0107091770734804,3383,"tags=21%, list=14%, signal=18%","2022/9590/3976/12/10457/7102/7133/7851/3624/3587/54677/1149/639/7185/23645/8808/629/3627/3486/11184/3398/23643/9314/5593/4013/5327/3561/80201/2113/7139/4803/220/50856/30001/2012/6324","Hallmark","Enza_vs_Control_noDHT"
