"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"WP_NRF2_PATHWAY","WP_NRF2_PATHWAY",126,0.529580134659877,2.06108782723687,1.30837081826683e-07,9.59035809789589e-05,8.18076069526841e-05,2709,"tags=28%, list=11%, signal=25%","3162/6536/23657/23491/5226/2730/2512/200010/4097/2495/1066/140809/7048/8878/7296/218/1958/22949/115584/1728/125206/8714/2953/388662/6513/6523/283848/2729/6534/2539/5155/177/2258/29986/4199","WikiPathways","Enza_vs_Control_noDHT"
"WP_MRNA_PROCESSING","WP_MRNA_PROCESSING",124,-0.468041595609373,-2.01403886583806,9.47788087553479e-07,0.00034736433408835,0.000296308486319351,7169,"tags=61%, list=30%, signal=43%","10658/23283/11338/23405/1660/6625/6626/27316/6729/10972/9343/2521/10772/6732/6427/1478/10236/51692/11218/6434/140890/56339/11051/4686/3178/8683/10262/6426/6428/1665/53981/23450/4841/10992/3182/3192/10921/3183/8243/6421/6628/10250/10914/55660/10978/6635/6733/6432/3181/6636/4670/8732/9128/4809/10659/3184/7307/84991/6632/1477/4904/3190/3188/22916/51362/22803/10907/84844/3191/5496/6627/22826/9410/6629/6634/8405","WikiPathways","Enza_vs_Control_noDHT"
"WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE","WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE",26,0.733986435198784,2.13622769011097,3.85440825681188e-06,0.000941760417414369,0.000803339826156581,2277,"tags=38%, list=9%, signal=35%","57761/467/1649/468/4189/121506/7494/23645/7453/2081","WikiPathways","Enza_vs_Control_noDHT"
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",91,-0.481410705947262,-1.97750737905281,6.56038348694928e-06,0.00120219027398346,0.0010254915240126,7274,"tags=44%, list=30%, signal=31%","4716/6392/4709/1349/374291/514/539/1355/518/10476/6390/7381/517/1340/292/4706/4698/9377/7384/4725/513/7350/4711/4719/4702/27109/522/4705/7385/498/515/4729/1353/7386/509/6391/506/4718/4720/7351","WikiPathways","Enza_vs_Control_noDHT"
"WP_FERROPTOSIS","WP_FERROPTOSIS",61,0.578634427629553,2.00764832042525,1.57593134573929e-05,0.0023103153528538,0.0019707436197245,4005,"tags=38%, list=16%, signal=32%","3162/6510/23657/1646/1645/2730/2512/2495/27035/6520/7296/30061/51703/2729/7018/875/1491/23305/6303/112483/8644/5621/1803","WikiPathways","Enza_vs_Control_noDHT"
"WP_NRF2ARE_REGULATION","WP_NRF2ARE_REGULATION",23,0.728134269057515,2.05210192681423,2.45246234114598e-05,0.00299609149343334,0.00255572391340476,2005,"tags=35%, list=8%, signal=32%","3162/23657/2730/1051/5578/2534/1728/2729","WikiPathways","Enza_vs_Control_noDHT"
"WP_INFLAMMATORY_RESPONSE_PATHWAY","WP_INFLAMMATORY_RESPONSE_PATHWAY",22,0.728867429741917,2.05170599558819,4.25883427681847e-05,0.00413437594791898,0.00352670253904484,2318,"tags=41%, list=10%, signal=37%","7059/3918/7133/3568/7535/7057/3912/7448/3561","WikiPathways","Enza_vs_Control_noDHT"
"WP_ANTIVIRAL_AND_ANTIINFLAMMATORY_EFFECTS_OF_NRF2_ON_SARSCOV2_PATHWAY","WP_ANTIVIRAL_AND_ANTIINFLAMMATORY_EFFECTS_OF_NRF2_ON_SARSCOV2_PATHWAY",30,0.679066308528808,2.05066112095839,4.51227934288565e-05,0.00413437594791898,0.00352670253904484,2005,"tags=33%, list=8%, signal=31%","3162/23657/2730/27035/2977/1728/2974/3551/5593/2729","WikiPathways","Enza_vs_Control_noDHT"
"WP_VISUAL_CYCLE","WP_VISUAL_CYCLE",10,0.852872629356499,1.9587741655709,0.000113754969196289,0.008338239242088,0.00711267912658903,1647,"tags=40%, list=7%, signal=37%","24/6121/145226/6017","WikiPathways","Enza_vs_Control_noDHT"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER",88,-0.456038491377692,-1.85868087717346,0.000103629212330376,0.008338239242088,0.00711267912658903,8328,"tags=72%, list=34%, signal=47%","5984/81620/25942/9133/5985/891/4863/8318/4998/890/6117/7298/10592/6241/983/7153/54443/24137/5931/7157/4609/6118/6240/4176/5928/1633/8030/2956/6502/8317/993/2189/1869/6596/3146/1019/5591/4173/4175/1786/5894/9126/580/6119/3015/8243/10733/1719/4172/1111/11124/10714/1871/9134/7027/595/7029/3065/5925/5557/5427/1870/898","WikiPathways","Enza_vs_Control_noDHT"
