"Pathway","Gene","Contrast","Database","p.adjust"
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","60481","Bica_vs_Control_DHT","WikiPathways",0.000472729488182163
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","2181","Bica_vs_Control_DHT","WikiPathways",0.000472729488182163
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","2194","Bica_vs_Control_DHT","WikiPathways",0.000472729488182163
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","79966","Bica_vs_Control_DHT","WikiPathways",0.000472729488182163
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","9415","Bica_vs_Control_DHT","WikiPathways",0.000472729488182163
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","60481","Bica_vs_Control_DHT","WikiPathways",0.000829710084264275
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","2181","Bica_vs_Control_DHT","WikiPathways",0.000829710084264275
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","9619","Bica_vs_Control_DHT","WikiPathways",0.000829710084264275
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","2194","Bica_vs_Control_DHT","WikiPathways",0.000829710084264275
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","3157","Bica_vs_Control_DHT","WikiPathways",0.000829710084264275
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","1718","Bica_vs_Control_DHT","WikiPathways",0.000829710084264275
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","9415","Bica_vs_Control_DHT","WikiPathways",0.000829710084264275
"HALLMARK_ANDROGEN_RESPONSE","6652","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","7163","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","22936","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","27347","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","60481","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","6611","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","6675","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","10257","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","9455","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","55839","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","2289","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","563","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","3248","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","4094","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","79689","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","1622","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","11099","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","2181","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","7113","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","445347","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","220","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","56937","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","10397","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","3157","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","10788","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","3817","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","11057","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","1718","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","8916","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","354","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"HALLMARK_ANDROGEN_RESPONSE","9590","Bica_vs_Control_DHT","Hallmark",1.03599014385003e-28
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","60481","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","2181","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","2194","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","10682","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","1718","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","2180","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
