"Sample","Library_Size","Genes_Detected","Size_Factor","Group","Drug","DHT"
"GSM6500910",41166336,24458,1.1611870310259,"Apalutamide_Plus_DHT","Apalutamide","Plus_DHT"
"GSM6500911",24560463,23497,0.697820173947908,"Apalutamide_Plus_DHT","Apalutamide","Plus_DHT"
"GSM6500912",37612110,24189,1.05325318295461,"Apalutamide_No_DHT","Apalutamide","No_DHT"
"GSM6500913",49073275,24472,1.37764673546047,"Apalutamide_No_DHT","Apalutamide","No_DHT"
"GSM6500914",38905655,24166,1.06195473837728,"Bicalutamide_Plus_DHT","Bicalutamide","Plus_DHT"
"GSM6500915",26249181,23505,0.725987635419973,"Bicalutamide_Plus_DHT","Bicalutamide","Plus_DHT"
"GSM6500916",33311682,23891,0.917182595815609,"Bicalutamide_No_DHT","Bicalutamide","No_DHT"
"GSM6500917",39469339,24239,1.11144853930246,"Bicalutamide_No_DHT","Bicalutamide","No_DHT"
"GSM6500918",44381190,24062,1.12048380219643,"Control_Plus_DHT","Control","Plus_DHT"
"GSM6500919",22837840,23130,0.621786836723842,"Control_Plus_DHT","Control","Plus_DHT"
"GSM6500920",46392700,24858,1.26432677513897,"Enzalutamide_Plus_DHT","Enzalutamide","Plus_DHT"
"GSM6500921",33380702,23981,0.938451207983537,"Enzalutamide_Plus_DHT","Enzalutamide","Plus_DHT"
"GSM6500922",35746526,24381,1.0492869420171,"Enzalutamide_No_DHT","Enzalutamide","No_DHT"
"GSM6500923",41452503,24295,1.1876532733068,"Enzalutamide_No_DHT","Enzalutamide","No_DHT"
"GSM6500924",36056154,24090,1.01771489923564,"Control_No_DHT","Control","No_DHT"
"GSM6500925",39950680,24257,1.15219627503382,"Control_No_DHT","Control","No_DHT"
